id,identification,despatch,age,cost,wage,order,demand,flow
338,RUT4UT40,B,C,B,B,B,4.08493151,9.31875
339,RUT5UT50,C,C,C,C,C,3.60273973,9.13194444
340,RUT6UT63,B,B,B,B,B,4.34794521,9.39053254
341,RUTC2520,C,C,C,C,C,3.1260274,8.70992366
342,RUTC3220,C,B,C,C,C,3.6630137,9.15753425
343,RUTC3225,B,B,B,B,B,3.96986301,9.17088608
344,RUTC4020,B,B,B,B,B,3.97260274,8.84146341
345,RUTC4025,C,C,C,C,B,3.64383562,8.52564103
346,RUTC4032,B,A,B,B,C,3.95616438,9.5
347,RUTC5020,B,A,B,B,B,4.35342466,9.99371069
348,RUTC5025,B,B,B,B,B,4.02465753,8.69230769
349,RUTC5032,B,B,B,B,B,3.8630137,8.59756098
350,RUTC5040,C,C,C,C,C,3.42465753,8.86524823
351,RUTC6325,C,C,C,C,C,3.26575342,8.45390071
352,RUTC6332,C,B,C,C,C,3.68219178,9.53191489
353,RUTC6350,B,B,B,B,B,4.38630137,9.7030303
354,RUTR1/2D,B,C,B,B,B,4.07945205,9.19135802
355,RUTR51/2,C,C,C,C,C,3.67671233,9.1292517
356,RUTRRN20,A,A,A,A,A,4.48493151,9.0441989
357,RUTRRN25,B,B,B,B,B,4.23561644,9.78481013
358,RUTRRN32,C,C,C,C,C,3.62739726,9.13103448
359,RUTRRT20,C,C,C,C,C,3.47123288,8.92253521
360,RUTRRT25,A,A,A,A,A,4.66027397,9.72
361,RUV2UV20,A,A,A,A,A,5.09315068,10.15846995
362,RUV2UV25,C,B,C,C,C,3.78356164,9.33108108
363,RUV3UV32,B,B,B,B,B,4.13424658,9.14545455
364,RUV4UV40,B,B,B,B,B,4.08767123,9.50318471
365,RUV5UV50,C,B,C,C,C,3.64109589,9.49285714
366,RUVCVC20,B,A,B,B,C,3.81917808,9.6137931
367,RUVCVC25,B,B,B,B,B,4.11780822,8.94642857
368,RUVCVC32,B,B,B,B,B,4.16438356,9.26829268
369,RUVCVC40,A,B,A,A,A,4.57260274,9.59195402
370,RUVCVC50,A,B,A,A,B,4.42739726,9.4502924
371,RUVCVC63,C,C,C,C,C,3.31780822,8.23809524
372,RUZCZC20,B,C,B,B,C,3.91232877,9.58389262
373,RUZCZC25,B,A,B,B,B,4.19726027,9.28484848
374,RUZCZC32,B,B,B,B,B,3.92054795,9.05696203
375,RUZCZC40,B,B,B,B,B,4.31506849,9.31952663
376,RUZCZC50,C,C,C,C,C,3.68767123,9.47887324
377,RUZCZC63,B,B,B,B,B,3.82739726,8.67701863
378,RUZRRN20,A,B,A,A,A,4.48767123,9.04972376
379,RUZRRN25,B,B,B,B,B,4.0739726,8.69590643
380,RUZRRN32,C,B,C,C,C,3.38082192,8.45205479
381,RUZRRN40,B,B,B,B,B,4.19726027,9.45679012
382,RUZRRN63,B,A,B,B,B,4.36164384,9.30994152
383,RUZRRT25,C,C,C,C,B,3.56712329,8.18867925
384,RV20RV20,B,B,B,B,B,4.18082192,9.36196319
385,RV20V20X,B,B,B,B,B,3.91780822,9.10828025
386,RV25RV25,C,C,C,C,C,3.30958904,8.2739726
387,RV25V25X,C,C,C,C,B,3.71506849,8.58227848
388,RV32RV32,C,B,C,C,C,3.72054795,9.43055556
389,RV32V32X,C,B,C,C,C,3.62465753,8.7615894
390,RV40RV40,A,A,A,A,A,4.43835616,9.1011236
391,RV40V40X,C,C,C,C,B,3.55068493,8.47058824
392,RV50RV50,C,C,C,C,B,3.76164384,8.85806452
393,RV50V50X,B,B,B,B,B,4.21369863,9.20958084
394,RVC2C20X,A,A,A,A,A,4.5890411,9.15300546
395,RVC2C25X,B,B,B,B,B,4.24383562,9.38787879
396,RVC2VC20,B,A,B,B,B,4.4,9.79268293
397,RVC2VC25,B,B,B,B,B,4.13150685,9.48427673
398,RVC3C32X,C,B,C,C,C,3.65753425,9.02027027
399,RVC3VC32,C,B,C,C,B,3.50958904,8.21153846
400,RVC4C40X,C,C,C,C,C,3.44931507,8.86619718
401,RVC4VC40,B,B,B,B,C,3.96712329,9.58940397
402,RVC5C50X,B,B,B,B,C,3.82191781,9.2384106
403,RVC5VC50,C,B,C,C,B,3.79726027,8.88461538
404,RVC6C63X,B,A,B,B,B,4.37260274,9.79141104
405,RVC6VC63,B,B,B,B,B,4.1890411,9.99346405
406,RZC22010,C,B,C,C,B,3.6739726,8.70779221
407,RZC22510,B,B,B,B,A,4.24931507,8.9137931
408,RZC2C20X,B,B,B,B,B,4.10410959,9.19018405
409,RZC2C25X,A,A,A,A,A,4.4630137,9.36206897
410,RZC33210,C,C,C,C,C,3.64383562,9.17241379
411,RZC3C32X,B,A,B,B,B,4.26027397,9.42424242
412,RZC4C408,C,B,C,C,C,3.7890411,9.22
413,RZC4C40X,C,B,C,C,B,3.70958904,8.56962025
414,RZC5C506,B,C,B,B,A,4.34794521,9.1734104
415,RZC5C50X,C,C,C,C,C,3.58082192,9.20422535
416,RZC6C636,B,B,B,B,B,4.16712329,9.50625
417,RZRNN20X,A,A,A,A,A,4.8109589,9.75555556
418,RZRNN25X,B,C,B,B,C,4.03287671,9.81333333
419,RZRNN32X,B,C,B,B,C,3.92328767,9.42105263
420,RZRNN50X,B,C,B,B,B,4.13424658,9.61146497
421,RZRNRN20,C,B,C,C,B,3.70958904,8.90789474
422,RZRNRN25,C,C,C,C,C,3.61369863,8.73509934
423,RZRNRN32,B,A,B,B,B,4.03835616,9.38853503
424,RZRNRN40,C,C,C,C,C,3.40821918,8.6993007
425,RZRNRN50,B,B,B,B,B,4.15890411,9.31288344
426,RZRNRN63,A,A,A,A,A,4.70410959,9.18181818
427,RZRTRT20,B,B,B,B,B,3.86575342,8.5
428,RZRTRT25,C,C,C,C,B,3.58356164,8.43870968
429,RZRTRT32,B,B,B,B,A,4.15342466,8.71264368
430,RZRTRT40,B,C,B,B,B,3.90958904,9.1474359
431,RZRTRT50,B,B,B,B,B,4.1369863,9.04191617
432,RZRTRT63,A,A,A,A,A,5.11780822,10.04301075
433,RZRTT20X,B,B,B,B,B,4.12328767,9.6474359
434,RZRTT25X,A,B,A,A,A,4.63561644,9.78034682
