id,identification,number,cost,price,profit,wage,description
22,RDKT6325,320,130,17000,25000,1040000,Dai_khoi_thuy_han_cam_phun_PPR_DN_63-25_PN20
23,RDKT6332,300,20,23000,25000,40000,Dai_khoi_thuy_han_cam_phun_PPR_DN_63-32_PN20
24,RDKT7525,300,80,9000,15000,480000,Dai_khoi_thuy_han_cam_phun_PPR_DN_75_-25_PN20
25,RDKT7532,300,160,20000,25000,800000,Dai_khoi_thuy_han_cam_phun_PPR_DN_75-32_PN20
26,RDKT7540,180,200,38000,45000,1400000,Dai_khoi_thuy_han_cam_phun_PPR_DN_75_-40_PN20
27,RDKT9020,400,120,37000,45000,960000,Dai_khoi_thuy_han_cam_phun_PPR_DN_90-20_PN20
28,RDKT9025,300,140,39000,45000,840000,Dai_khoi_thuy_han_cam_phun_PPR_DN_90_-25_PN20
29,RDKT9040,180,90,13000,15000,180000,Dai_khoi_thuy_han_cam_phun_PPR_DN_90_-40_PN20
30,ROT2OT20,210,180,44000,55000,1980000,ong_tranh_PPR_DN_20_PN20
31,ROT2OT25,120,20,48000,55000,140000,ong_tranh_PPR_DN_25_PN20
32,RV20RV20,60,120,2000,5000,360000,Van_chan_phun_PPR_DN_20
33,RV25RV25,60,130,38000,45000,910000,Van_chan_phun_PPR_DN_25
34,RV32RV32,36,160,4000,5000,160000,Van_chan_phun_PPR_DN_32
35,RV40RV40,20,30,2000,5000,90000,Van_chan_phun_PPR_DN_40
36,RV50RV50,20,100,40000,45000,500000,Van_chan_phun_PPR_DN_50
37,RVC2VC20,60,140,28000,35000,980000,Van_cua_phun_PPR_DN_20
38,RVC2VC25,40,20,7000,15000,160000,Van_cua_phun_PPR_DN_25
39,RVC3VC32,30,50,5000,15000,500000,Van_cua_phun_PPR_DN_32
40,RVC4VC40,12,160,26000,35000,1440000,Van_cua_phun_PPR_DN_40
41,RVC5VC50,12,120,15000,25000,1200000,Van_cua_phun_PPR_DN_50
42,RVC6VC63,8,160,50000,55000,800000,Van_cua_phun_PPR_DN_63
43,RZC22010,100,150,48000,55000,1050000,Zac_co_phun_PPR_DN_20_PN10
44,RZC22510,150,50,42000,45000,150000,Zac_co_phun_PPR_DN_25_PN10
45,RZC33210,60,140,17000,25000,1120000,Zac_co_phun_PPR_DN_32_PN10
46,RZC4C408,40,140,40000,45000,700000,Zac_co_phun_PPR_DN_40_PN8
47,RZC5C506,30,50,4000,5000,50000,Zac_co_phun_PPR_DN_50_PN6
48,RZC6C636,18,110,5000,15000,1100000,Zac_co_phun_PPR_DN_63_PN6
49,RZRNRN20,90,40,10000,15000,200000,-1/2_Zacco_ren_ngoai_phun_PPR_DN_20PN20
50,RZRNRN25,30,10,13000,15000,20000,-3/4_Zacco_ren_ngoai_phun_PPR_DN_25PN20
51,RZRNRN32,30,80,48000,55000,560000,Zacco_ren_ngoai_phun_PPR_DN_32-1PN20
52,RZRNRN40,24,150,2000,5000,450000,Zacco_ren_ngoai_phun_PPR_DN_40-1.1/4PN20
53,RZRNRN50,12,160,9000,15000,960000,-1.1/2_Zacco_ren_ngoai_phun_PPR_DN_50PN20
54,RZRNRN63,12,10,43000,55000,120000,Zacco_ren_ngoai_phun_PPR_DN_63-2PN20
55,RZRTRT20,90,80,11000,15000,320000,Zacco_ren_trong_phun_PPR_DN_20-1/2PN20
56,RZRTRT25,30,160,10000,15000,800000,Zacco_ren_trong_phun_PPR_DN_25-3/4PN20
57,RZRTRT32,30,40,27000,35000,320000,-1_Zacco_ren_trong_phun_PPR_DN_32PN20
58,RZRTRT40,24,130,21000,25000,520000,-1.1/4_Zacco_ren_trong_phun_PPR_DN_40PN20
59,RZRTRT50,12,50,29000,35000,300000,Zacco_ren_trong_phun_PPR_DN_50-1.1/2PN20
60,RZRTRT63,12,170,35000,45000,1700000,Z_acco_ren_trong_phun_PPR_DN_63_-2PN20
61,RL11L110,7,140,1000,5000,560000,Noi_goc_90do_phun_PPR_DN_110_PN20
62,RL20RL20,280,130,46000,55000,1170000,Noi_goc_90do_phun_PPR_DN_20_PN20
63,RL25RL25,320,200,47000,55000,1600000,Noi_goc_90do_phun_PPR_DN_25_PN20
64,RL32RL32,160,80,12000,15000,240000,Noi_goc_90do_phun_PPR_DN_32_PN20
65,RL40RL40,80,80,41000,45000,320000,Noi_goc_90do_phun_PPR_DN_40_PN20
66,RL50RL50,48,70,13000,15000,140000,Noi_goc_90do_phun_PPR_DN_50_PN20
67,RL63RL63,35,50,49000,55000,300000,Noi_goc_90do_phun_PPR_DN_63_PN20
68,RL75RL75,25,40,23000,25000,80000,Noi_goc_90do_phun_PPR_DN_75_PN20
69,RL90RL90,15,170,10000,15000,850000,Noi_goc_90do_phun_PPR_DN_90_PN20
70,RLKR51/2,25,170,8000,15000,1190000,"Noi_goc_90do_kep_ren_trong_PPR_DN_25_-1/2""_PN20"
71,RLRNRN20,120,160,49000,55000,960000,"Noi_goc_ren_ngoai_phun_PPR_DN_20-1/2""PN20"
72,RLRNRN25,80,40,29000,35000,240000,"Noi_goc_ren_ngoai_phun_PPR_DN_25-3/4""PN20"
73,RLRN51/2,80,40,27000,35000,320000,"-1/2""_Noi_goc_ren_ngoai_phun_PPR_DN_25PN20"
74,RLRNRN32,40,140,35000,45000,1400000,"Noi_goc_ren_ngoai_phun_PPR_DN_32-1""PN20"
75,RLRTRT20,150,180,47000,55000,1440000,"-1/2""_Noi_goc_ren_trong_phun_PPR_DN_20PN20"
76,RLRTRT25,100,30,29000,35000,180000,"Noi_goc_ren_trong_phun_PPR_DN_25-3/4""PN20"
77,RLRT51/2,100,150,3000,5000,300000,"-1/2""_Noi_goc_ren_trong_phun_PPR_DN_25PN20"
78,RLRTRT32,40,10,33000,35000,20000,-1''_Noi_goc_ren_trong_phun_PPR_DN_32PN20
79,RLL1L110,10,200,41000,45000,800000,Noi_goc_45do_phun_PPR_DN_110_PN20
80,RLL2LL20,300,170,27000,35000,1360000,Noi_goc_45do_phun_PPR_DN_20_PN20
81,RLL2LL25,400,70,9000,15000,420000,Noi_goc_45do_phun_PPR_DN_25_PN20
82,RLL3LL32,240,160,33000,35000,320000,Noi_goc_45do_phun_PPR_DN_32_PN20
83,RLL4LL40,90,100,43000,55000,1200000,Noi_goc_45do_phun_PPR_DN_40_PN20
84,RLL5LL50,60,120,20000,25000,600000,Noi_goc_45do_phun_PPR_DN_50_PN20
85,RLL6LL63,50,120,6000,15000,1080000,Noi_goc_45do_phun_PPR_DN_63_PN20
86,RLL7LL75,30,20,7000,15000,160000,Noi_goc_45do_phun_PPR_DN_75_PN20
87,RLL9LL90,20,110,50000,55000,550000,Noi_goc_45do_phun_PPR_DN_90_PN20
88,RN11N110,18,90,30000,35000,450000,Noi_thang_phun_PPR_DN_110_PN20
89,RN20RN20,400,10,29000,35000,60000,Noi_thang_phun_PPR_DN_20_PN20
90,RN25RN25,480,130,25000,35000,1300000,Noi_thang_phun_PPR_DN_25_PN20
91,RN32RN32,280,90,19000,25000,540000,Noi_thang_phun_PPR_DN_32_PN20
92,RN40RN40,160,200,46000,55000,1800000,Noi_thang_phun_PPR_DN_40_PN20
93,RN50RN50,90,130,4000,5000,130000,Noi_thang_phun_PPR_DN_50_PN20
94,RN63RN63,70,130,42000,45000,390000,Noi_thang_phun_PPR_DN_63_PN20
95,RN75RN75,40,90,7000,15000,720000,Noi_thang_phun_PPR_DN_75_PN20
96,RN90RN90,28,190,13000,15000,380000,Noi_thang_phun_PPR_DN_90_PN20
97,RNC11050,16,180,27000,35000,1440000,Noi_thang_CB_phun_PPR_DN_110-50PN20
98,RNC11063,20,190,43000,45000,380000,Noi_thang_CB_phun_PPR_DN_110-63PN20
99,RNC11075,20,50,30000,35000,250000,Noi_thang_CB_phun_PPR_DN_110-75PN20
100,RNC11090,20,160,27000,35000,1280000,Noi_thang_CB_phun_PPR_DN_110-90PN20
101,RNC22520,280,90,2000,5000,270000,Noi_thang_CB_phun_PPR_DN_25-20_PN20
102,RNC33220,360,40,15000,25000,400000,Noi_thang_CB_phun_PPR_DN_32-20_PN20
103,RNC33225,300,100,36000,45000,900000,Noi_thang_CB_phun_PPR_DN_32_-25_PN20
104,RNC44020,200,60,41000,45000,240000,Noi_thang_CB_phun_PPR_DN_40_-20_PN20
105,RNC44025,200,190,39000,45000,1140000,Noi_thang_CB_phun_PPR_DN_40-25_PN20
106,RNC44032,180,180,15000,25000,1800000,Noi_thang_CB_phun_PPR_DN_40_-32_PN20
107,RNC55020,120,140,23000,25000,280000,Noi_thang_CB_phun_PPR_DN_50_-20_PN20
108,RNC55025,120,60,42000,45000,180000,Noi_thang_CB_phun_PPR_DN_50-25_PN20
109,RNC55032,120,150,19000,25000,900000,Noi_thang_CB_phun_PPR_DN_50_-32_PN20
110,RNC55040,100,50,20000,25000,250000,Noi_thang_CB_phun_PPR_DN_50_-40_PN20
111,RNC66325,100,20,34000,45000,220000,Noi_thang_CB_phun_PPR_DN_63-25_PN20
112,RNC66332,100,30,30000,35000,150000,Noi_thang_CB_phun_PPR_DN_63-32_PN20
113,RNC66340,80,40,8000,15000,280000,Noi_thang_CB_phun_PPR_DN_63_-40_PN20
114,RNC66350,70,30,30000,35000,150000,Noi_thang_CB_phun_PPR_DN_63_-50_PN20
115,RNC77532,60,40,11000,15000,160000,Noi_thang_CB_phun_PPR_DK_75-32_PN20
116,RNC77540,60,180,6000,15000,1620000,Noi_thang_CB_phun_PPR_DN_75-40_PN20
117,RNC77550,60,60,29000,35000,360000,Noi_thang_CB_phun_PPR_DN_75-50_PN20
118,RNC77563,60,60,29000,35000,360000,Noi_thang_CB_phun_PPR_DN_75_-63_PN20
119,RNC99050,40,170,45000,55000,1700000,Noi_thang_CB_phun_PPR_DK_90-50_PN20
120,RNC99063,30,30,22000,25000,90000,Noi_thang_CB_phun_PPR_DN_90-63_PN20
121,RNC99075,30,180,2000,5000,540000,Noi_thang_CB_phun_PPR_DN_90_-75_PN20
122,RNRNN110,4,70,40000,45000,350000,"-4""_Noi_ren_ngoai_phun_PPR_DK_110PN20"
123,RNRNRN20,150,80,39000,45000,480000,"Noi_thang_ren_ngoai_phun_PPR_DN_20_-1/2""PN20"
124,RNRNRN25,90,60,16000,25000,540000,"Noi_thang_ren_ngoai_phun_PPR_DN_25-3/4""PN20"
125,RNRN51/2,120,40,1000,5000,160000,"Noi_thang_ren_ngoai_phun_PPR_DN_25_-1/2""PN20"
126,RNRNRN32,40,110,19000,25000,660000,Noi_thang_ren_ngoai_phun_PPR_DN32x1''PN20
127,RNRNRN40,40,20,35000,45000,200000,Noi_thang_ren_ngoai_phun_PPR_DN_40-1.1/4PN20
128,RNRNRN50,40,100,49000,55000,600000,"Noi_thang_ren_ngoai_phun_PPR_DN_50_-1.1/2""_PN20"
129,RNRNRN63,15,60,34000,45000,660000,Noi_thang_ren_ngoai_phun_PPR_DN_63x2''PN20
130,RNRNRN75,8,90,5000,15000,900000,"Noi_thang_ren_ngoai_phun_PPR_DN_75_-2.1/2""_PN20"
131,RNRNRN90,6,20,29000,35000,120000,"Noi_thang_ren_ngoai_phun_PPR_DN_90x3""PN20"
132,RNRT1010,5,50,4000,5000,50000,"Noi_thang_ren_trong_phun_PPR_DN_110_-4""_PN10"
133,RNRTRT20,200,20,15000,25000,200000,"Noi_thang_ren_trong_phun_PPR_DN_20_-1/2""_PN20"
134,RNRTRT25,120,170,1000,5000,680000,"Noi_thang_ren_trong_phun_PPR_DN_25-3/4""_PN20"
135,RNRT51/2,150,170,16000,25000,1530000,"Noi_thang_ren_trong_phun_PPR_DN_25_-1/2""_PN20"
136,RNRTRT32,40,190,48000,55000,1330000,"Noi_thang_ren_trong_phun_PPR_DN_32-1""PN20"
137,RNRTRT40,40,180,38000,45000,1260000,"Noi_thang_ren_trong_phun_PPR_DN_40_-1.1/4""_PN20"
138,RNRTRT50,40,110,28000,35000,770000,"Noi_thang_ren_trong_phun_PPR_DN_50-1.1/2""_PN20"
139,RNRTRT63,15,200,46000,55000,1800000,"Noi_thang_ren_trong_phun_PPR_DN_63-2""PN20"
140,RNRTRT75,10,30,38000,45000,210000,"75-_Noi_thang_ren_trong_phun_PPR_DN2.1/2""_PN20"
141,RNRTRT90,6,200,35000,45000,2000000,"Noi_thang_ren_trong_phun_PPR_DN_90-3""PN20"
142,RT11T110,6,300,44000,55000,3300000,Ba_chac_90do_phun_PPR_DN_110_PN20
143,RT20RT20,400,480,41000,45000,1920000,Ba_chac_90do_phun_PPR_DN_20_PN20
144,RT25RT25,240,900,31000,35000,3600000,Ba_chac_90do_phun_PPR_DN_25_PN20
145,RT32RT32,120,580,26000,35000,5220000,Ba_chac_90do_phun_PPR_DN_32_PN20
146,RT40RT40,60,830,21000,25000,3320000,Ba_chac_90do_phun_PPR_DN_40_PN20
147,RT50RT50,30,360,7000,15000,2880000,Ba_chac_90do_phun_PPR_DN_50_PN20
148,RT63RT63,25,460,31000,35000,1840000,Ba_chac_90do_phun_PPR_DN_63_PN20
149,RT75RT75,15,330,36000,45000,2970000,Ba_chac_90do_phun_PPR_DN_75_PN20
150,RT90RT90,10,70,46000,55000,630000,Ba_chac_90do_phun_PPR_DN_90_PN20
151,RTC11063,9,470,13000,15000,940000,Ba_chac_90do_CB_phun_PPR_DN_110_-63PN20
152,RTC11075,9,190,50000,55000,950000,Ba_chac_90do_CB_phun_PPR_N_110-75PN2
153,RTC11090,8,770,20000,25000,3850000,-90_Ba_chac_90do_CB_phun_PPR_DN_110PN20
154,RTC22520,300,220,20000,25000,1100000,Ba_chac_90do_CB_phun_PPR_DN_25-20PN20
155,RTC33220,180,150,3000,5000,300000,-20_Ba_chac_90do_CB_phun_PPR_DN_32PN20
156,RTC33225,150,460,15000,25000,4600000,-25_Ba_chac_90do_CB_phun_PPR_DN_32PN20
157,RTC44020,100,970,20000,25000,4850000,Ba_chac_90do_CB_phun_PPR_DN_40-20PN20
158,RTC44025,80,470,12000,15000,1410000,-25_Ba_chac_90do_CB_phun_PPR_DN_40PN20
159,RTC44032,80,420,49000,55000,2520000,Ba_chac_90do_CB_phun_PPR_DN_40-32PN20
160,RTC55020,64,290,13000,15000,580000,-20_Ba_chac_90do_CB_phun_PPR_DN_50PN20
161,RTC55025,60,890,24000,35000,9790000,Ba_chac_90do_CB_phun_PPR_DN_50-25PN20
162,RTC55032,55,480,19000,25000,2880000,Ba_chac_90do_CB_phun_PPR_DN_50-32PN20
163,RTC55040,50,610,9000,15000,3660000,-40_Ba_chac_90do_CB_phun_PPR_DN_50PN20
164,RTC66325,50,330,24000,25000,330000,Ba_chac_90do_CB_phun_PPR_DN_63-25PN20
165,RTC66332,50,450,5000,15000,4500000,-32_Ba_chac_90do_CB_phun_PPR_DN_63PN20
166,RTC66340,40,450,22000,25000,1350000,Ba_chac_90do_CB_phun_PPR_DN_63-40PN20
167,RTC66350,30,280,19000,25000,1680000,-50_Ba_chac_90do_CB_phun_PPR_DN_63PN20
168,RTC77532,35,1000,38000,45000,7000000,-32_Ba_chac_90do_CB_phun_PPR_DN_75PN20
169,RTC77540,25,660,32000,35000,1980000,Ba_chac_90do_CB_phun_PPR_DN_75-40PN20
170,RTC77550,20,700,48000,55000,4900000,-50_Ba_chac_90do_CB_phun_PPR_DN_75PN20
171,RTC77563,20,320,22000,25000,960000,Ba_chac_90do_CB_phun_PPR_DN_75-63PN20
172,RTC99050,15,70,47000,55000,560000,-50_Ba_chac_90do_CB_phun_PPR_DN_90PN20
173,RTC99063,15,170,30000,35000,850000,-63_Ba_chac_90do_CB_phun_PPR_DN_90PN20
174,RTC99075,12,340,24000,35000,3740000,-75_Ba_chac_90do_CB_phun_PPR_DN_90PN20
175,RTRNRN20,100,630,44000,55000,6930000,Ba_chac_90do_ren_ngoai_phun_PPR_DN20-1/2PN20
176,RTRNRN25,60,700,27000,35000,5600000,Ba_chac_90do_ren_ngoai_phun_PPR_DN25-3/4_PN20
177,RTRN51/2,60,80,35000,45000,800000,Ba_chac_90do_ren_ngoai_phun_PPR_DN25-1/2_PN20
178,RTRNRN32,40,190,32000,35000,570000,Ba_chac_90do_ren_ngoai_phun_PPR_DN32-1PN20
179,RTRTRT20,120,410,38000,45000,2870000,Ba_chac_90do_ren_trong_phun_PPR_DN20-1/2PN20
180,RTRTRT25,60,390,18000,25000,2730000,Ba_chac_90do_ren_trong_phun_PPR_D_25-3/4_PN20
181,RTRT51/2,80,410,49000,55000,2460000,Ba_chac_90do_ren_trong_phun_PPR_DN25-1/2_PN20
182,RTRTRT32,40,990,12000,15000,2970000,Ba_chac_90do_ren_trong_phun_PPR_DN32-1_PN20
183,RB50B50X,10,820,14000,15000,820000,Bich_noi_ong_phun_PPR_DN_50_PN20mau_xanh
184,RB90B90X,10,610,31000,35000,2440000,Bich_noi_ong_phun_PPR_DN_90_PN20xanh
185,RDB2B20X,600,110,21000,25000,440000,Dau_bit_phun_PPR_DN_20_PN20_xanh
186,RDB2B25X,360,790,33000,35000,1580000,Dau_bit_phun_PPR_DN_25_PN20_xanh
187,RDB3B32X,400,410,34000,45000,4510000,Dau_bit_phun_PPR_DN_32_PN20_xanh
188,RDB4B40X,300,880,19000,25000,5280000,Dau_bit_phun_PPR_DN_40_PN20_xanh
189,RDB5B50X,120,610,7000,15000,4880000,Dau_bit_phun_PPR_DN_50_PN20_xanh
190,ROT2T20X,210,320,27000,35000,2560000,Ong_tranh_phun_PPR_DN_20_PN20_xanh
191,ROT2T25X,120,60,28000,35000,420000,Ong_tranh_phun_PPR_DN_25_PN20_xanh
192,RV20V20X,60,100,17000,25000,800000,Van_chan_phun_PPR_DN_20_xanh
193,RV25V25X,60,70,19000,25000,420000,Van_chan_phun_PPR_DN_25_xanh
194,RV32V32X,36,260,17000,25000,2080000,Van_chan_phun_PPR_DN_32_xanh
195,RV40V40X,20,810,21000,25000,3240000,Van_chan_phun_PPR_DN_40_xanh
196,RV50V50X,20,830,7000,15000,6640000,Van_chan_phun_PPR_DN_50_xanh
197,RVC2C20X,60,220,6000,15000,1980000,Van_cua_phun_PPR_DN_20_xanh
198,RVC2C25X,40,280,37000,45000,2240000,Van_cua_phun_PPR_DN_25_xanh
199,RVC3C32X,30,950,17000,25000,7600000,Van_cua_phun_PPR_DN_32_xanh
200,RVC4C40X,12,520,8000,15000,3640000,Van_cua_phun_PPR_DN_40_xanh
201,RVC5C50X,12,70,23000,25000,140000,Van_cua_phun_PPR_DN_50_xanh
202,RVC6C63X,8,80,14000,15000,80000,Van_cua_phun_PPR_DN_63_mau_xanh
203,RZC2C20X,50,960,11000,15000,3840000,Zac_co_phun_PPR_DN_20_PN10_xanh
204,RZC2C25X,40,590,24000,35000,6490000,Zac_co_phun_PPR_DN_25_PN10_xanh
205,RZC3C32X,30,750,13000,15000,1500000,Zac_co_phun_PPR_DN_32_PN10_xanh
206,RZC4C40X,20,660,14000,15000,660000,Zac_co_phun_PPR_DN_40_PN8_xanh
207,RZC5C50X,10,250,10000,15000,1250000,Zac_co_phun_PPR_DN_50_PN6_xanh
208,RZRNN20X,90,330,17000,25000,2640000,-1/2_Zac_co_ren_ngoai_phun_PPR_DN_20PN20_xanh
209,RZRNN25X,30,410,38000,45000,2870000,Zac_co_ren_PN20_xanh__ngoai_phun_PPR_DN_25-3/4
210,RZRNN32X,30,750,35000,45000,7500000,Zac_co_ren_ngoai_phun_PPR_DN_32-1_PN20_xanh__-1
211,RZRNN50X,24,260,40000,45000,1300000,"Zac_co_ren_ngoai_phun_PPR_DN_50_-1.1/2""_PN20_xanh__"
212,RZRTT20X,90,520,2000,5000,1560000,Zac_co_ren_trong_phun_PPR_DN_20_PN20_xanh__-1/2
213,RZRTT25X,30,530,25000,35000,5300000,Zac_co_ren_trong_phun_PPR_DN_25-3/4PN20_xanh__
214,RLL2L20X,300,630,35000,45000,6300000,Noi_goc_45do_phun_PPR_DN_20__PN20
215,RLL2L25X,400,360,28000,35000,2520000,Noi_goc_45do_phun_PPR_DN_25__PN20
216,RLL3L32X,240,990,23000,25000,1980000,Noi_goc_45do_phun_PPR_xanh_DN_32_PN20
217,RLL4L40X,90,960,39000,45000,5760000,Noi_goc_45do_phun_PPR_DN_40_PN20xanh__
218,RLL5L50X,60,560,37000,45000,4480000,Noi_goc_45do_phun_PPR_DN_50_PN20xanh__
219,RLL6L63X,50,370,19000,25000,2220000,Noi_goc_45do_phun_PPR_DN_63_PN20xanh__
220,RLL7L75X,30,240,40000,45000,1200000,Noi_goc_45do_phun_PPR_DN_75_PN20xanh__
221,RL20L20X,280,230,21000,25000,920000,Noi_goc_90do_phun_PPR_DN_20__PN20
222,RL25L25X,320,870,41000,45000,3480000,Noi_goc_90do_phun_PPR_DN_25__PN20
223,RL32L32X,160,850,24000,25000,850000,Noi_goc_90do_phun_PPR_DN_32__PN20
224,RL40L40X,80,840,35000,45000,8400000,Noi_goc_90do_phun_PPR_DN_40xanh__PN20
225,RL50L50X,48,610,47000,55000,4880000,Noi_goc_90do_phun_PPR_DN_50_PN20xanh__
226,RL63L63X,35,180,19000,25000,1080000,Noi_goc_90do_phun_PPR_DN_63_PN20xanh__
227,RL75L75X,25,330,23000,25000,660000,Noi_goc_90do_phun_PPR_DN_75_PN20xanh__
228,RL90L90X,15,900,38000,45000,6300000,Noi_goc_90do_phun_PPR_DN_90_PN20xanh__
229,RLRNN20X,120,240,39000,45000,1440000,"Noi_goc_ren_ngoai_phun_PPR_DN_201/2""PN20_xanh__-"
230,RLRN1/2X,80,550,6000,15000,4950000,"Noi_goc_ren_ngoai_phun_PPR_DN_25-1/2""PN20_xanh__"
231,RLRNN25X,80,320,1000,5000,1280000,"Noi_goc_ren_ngoai_phun_PPR_DN_25PN20_xanh__-3/4"""
232,RLRTT20X,40,850,7000,15000,6800000,"Noi_goc_ren_trong_phun_PPR_DN_20-1/2""PN20_xanh__"
233,RLRT1/2X,100,920,44000,55000,10120000,"Noi_goc_ren_trong_phun_PPR_DN_25PN20_xanh__-1/2"""
234,RLRTT25X,120,790,28000,35000,5530000,Noi_goc_ren_trong_phun_PPR_DN_25PN20_xanh
235,RLRTT32X,40,70,42000,45000,210000,Noi_goc_ren_trong_phun_PPR_DN_32PN20_xanh
236,RN20N20X,400,400,13000,15000,800000,Noi_thang_phun_PPR_DN_20_PN20_xanh
237,RN25N25X,480,730,50000,55000,3650000,Noi_thang_phun_PPR_DN_25_PN20_xanh
238,RN32N32X,280,860,49000,55000,5160000,Noi_thang_phun_PPR_DN_32_PN20_xanh
239,RN40N40X,160,900,35000,45000,9000000,Noi_thang_phun_PPR_DN_40_PN20_xanh
240,RN50N50X,90,590,10000,15000,2950000,Noi_thang_phun_PPR_DN_50_PN20_xanh
241,RN63N63X,70,880,32000,35000,2640000,Noi_thang_phun_PPR_DN_63_PN20_xanh
242,RN75N75X,40,340,3000,5000,680000,Noi_thang_phun_PPR_DN_75_PN20_xanh
243,RNC2520X,280,590,42000,45000,1770000,Noi_thang_CB_phun_PPR_DN_25-20PN20xanh
244,RNC3220X,360,830,25000,35000,8300000,Noi_thang_CB_phun_PPR_DNxanh
245,RNC3225X,300,210,32000,35000,630000,Noi_thang_CB_phun_PPR_DN_32-25PN20_xanh
246,RNC4020X,200,380,13000,15000,760000,Noi_thang_CB_phun_PPR_DN_40-20PN20_xanh
247,RNC4025X,200,630,32000,35000,1890000,Noi_thang_CB_phun_PPR_DN_40PN20_xanh
248,RNC4032X,180,970,21000,25000,3880000,Noi_thang_CB_phun_PPR_DN_40-32_PN20xanh
249,RNC5020X,120,450,14000,15000,450000,Noi_thang_CB_phun_PPR_DN_50xanh
250,RNC5025X,120,240,11000,15000,960000,Noi_thang_CB_phun_PPR_DN_50-25_PN20xanh
251,RNC5032X,120,460,40000,45000,2300000,Noi_thang_CB_phun_PPR_DN_50xanh
252,RNC5040X,100,600,40000,45000,3000000,Noi_thang_CBxanh
253,RNC6340X,80,160,6000,15000,1440000,Noi_thang_CB_phun_PPR_DN_63-40_PN20xanh
254,RNC6350X,70,990,36000,45000,8910000,Noi_thang_CB_phun_PPR_DN_63xanh
255,RNC7540X,60,550,42000,45000,1650000,Noi_thang_CB_phun_PPR_DN_75-40_PN20xanh
256,RNC7563X,60,600,40000,45000,3000000,Noi_thang_CBxanh
257,RNC9075X,50,450,29000,35000,2700000,Noi_thang_CB_phun_PPR_DN_90-75_PN20xanh
258,RNRNN20X,150,860,28000,35000,6020000,"Noi_thang_ren_ngoai1/2""_PN20_xanh"
259,RNRN1/2X,120,150,3000,5000,300000,Noi_thang_ren_ngoai
260,RNRNN25X,90,500,20000,25000,2500000,"Noi_thang_ren_ngoai3/4""_PN20_xanh"
261,RNRNN32X,40,620,39000,45000,3720000,Noi_thang_ren_ngoai
262,RNRNN40X,40,280,30000,35000,1400000,"Noi_thang_ren_ngoai1.1/4""_PN20_xanh"
263,RNRNN50X,40,210,34000,45000,2310000,Noi_thang_ren_ngoai
264,RNRNN63X,15,180,4000,5000,180000,"Noi_thang_ren_ngoai_phun_PPR_DN_63_x2""_PN20_xanh"
265,RNRTT20X,200,390,4000,5000,390000,"-_Noi_thang_ren_trong_phun_PPR_DN_201/2""_PN20_xanh"
266,RNRT1/2X,150,130,3000,5000,260000,"Noi_thang_ren_trong_phun_PPR_DN_25-1/2""_PN20_xanh"
267,RNRTT25X,120,470,26000,35000,4230000,"-_Noi_thang_ren_trong_phun_PPR_DN_253/4""_PN20_xanh"
268,RNRTT32X,40,780,2000,5000,2340000,"Noi_thang_ren_trong_phun_PPR_DN_32-1""PN20_xanh"
269,RNRTT40X,40,170,20000,25000,850000,"Noi_thang_ren_trong_phun_PPR_DN_40-1.1/4""_PN20_xanh"
