Log file for data_sample.py
Start time: 2023-08-02 20:17:53.499132
[ID:1| Order KDO7FITFAI created | Generated 8079 items | Pending 75974137 items]
[ID:94| Order CRGNDQS8G7 created | Generated 2223747 items | Pending 73758469 items]
[ID:95| Order CQZ5H5YVCA created | Generated 2246680 items | Pending 73735536 items]
[ID:96| Order H4U3I8K1AL created | Generated 2285056 items | Pending 73697160 items]
[ID:97| Order 828UD3Q5H3 created | Generated 2309302 items | Pending 73672914 items]
[ID:98| Order 82V9IW6KAA created | Generated 2354562 items | Pending 73627654 items]
[ID:99| Order 7DSXKTC8XY created | Generated 2366800 items | Pending 73615416 items]
[ID:100| Order H1A4A2QJ5M created | Generated 2367595 items | Pending 73614621 items]
[ID:101| Order IKOJ68X4FL created | Generated 2410700 items | Pending 73571516 items]
[ID:102| Order 181LXQ4FIH created | Generated 2421056 items | Pending 73561160 items]
[ID:103| Order 1JX6E94BQE created | Generated 2438216 items | Pending 73544000 items]
[ID:104| Order O2OEEFHMXM created | Generated 2480302 items | Pending 73501914 items]
[ID:105| Order CCGAC7R898 created | Generated 2513324 items | Pending 73468892 items]
[ID:106| Order 6XJSCQX9CH created | Generated 2560873 items | Pending 73421343 items]
[ID:107| Order ADEEF9WNLE created | Generated 2572328 items | Pending 73409888 items]
[ID:108| Order 0FJE1Z2EMI created | Generated 2588357 items | Pending 73393859 items]
[ID:109| Order GZ6FM2SMRE created | Generated 2607800 items | Pending 73374416 items]
[ID:110| Order S20KDFXB0N created | Generated 2616772 items | Pending 73365444 items]
[ID:111| Order XR5E6E5X07 created | Generated 2647291 items | Pending 73334925 items]
[ID:112| Order YBT1ZQCU99 created | Generated 2688406 items | Pending 73293810 items]
[ID:113| Order RSS8L4CIZF created | Generated 2722424 items | Pending 73259792 items]
[ID:114| Order 3W4RCOOMH6 created | Generated 2732585 items | Pending 73249631 items]
[ID:115| Order ECZZNHDR6D created | Generated 2774203 items | Pending 73208013 items]
[ID:116| Order E03QAPD2YH created | Generated 2793429 items | Pending 73188787 items]
[ID:117| Order PCPQ55RILB created | Generated 2812102 items | Pending 73170114 items]
[ID:118| Order 6YKIEY762N created | Generated 2841645 items | Pending 73140571 items]
[ID:119| Order UCOVMDJAT4 created | Generated 2886837 items | Pending 73095379 items]
[ID:120| Order 40YQ8ONDGV created | Generated 2928101 items | Pending 73054115 items]
[ID:121| Order 7ENC0KKXYR created | Generated 2973401 items | Pending 73008815 items]
[ID:122| Order AQIMPIL6GS created | Generated 2985548 items | Pending 72996668 items]
[ID:123| Order KJH1VWSLCG created | Generated 3002944 items | Pending 72979272 items]
[ID:124| Order XK29RFSK6Y created | Generated 3003442 items | Pending 72978774 items]
[ID:125| Order LZMYSD5YON created | Generated 3030645 items | Pending 72951571 items]
[ID:126| Order EUTXMQ88SW created | Generated 3062757 items | Pending 72919459 items]
[ID:127| Order AA8ZU93PAV created | Generated 3111622 items | Pending 72870594 items]
[ID:128| Order Q4MS0D4K7R created | Generated 3128506 items | Pending 72853710 items]
[ID:129| Order A9IF4TL49G created | Generated 3170110 items | Pending 72812106 items]
[ID:130| Order 67CP8H5TAH created | Generated 3204647 items | Pending 72777569 items]
[ID:131| Order ZKYU274AYK created | Generated 3211444 items | Pending 72770772 items]
[ID:132| Order FI1JWWBM65 created | Generated 3253431 items | Pending 72728785 items]
[ID:133| Order 5WQ7H6GH34 created | Generated 3306572 items | Pending 72675644 items]
[ID:134| Order TXWS2VGF7G created | Generated 3356249 items | Pending 72625967 items]
[ID:135| Order UNJGLP6B1G created | Generated 3359789 items | Pending 72622427 items]
[ID:136| Order SMQD8RHC0A created | Generated 3379833 items | Pending 72602383 items]
[ID:137| Order 8VQ6VMJ37B created | Generated 3399076 items | Pending 72583140 items]
[ID:138| Order QG2X8RB6MN created | Generated 3438583 items | Pending 72543633 items]
[ID:139| Order 0O5GHW84QI created | Generated 3469773 items | Pending 72512443 items]
[ID:140| Order 3L0N6GYRNP created | Generated 3502824 items | Pending 72479392 items]
[ID:141| Order W9KQ27XZVB created | Generated 3503280 items | Pending 72478936 items]
[ID:142| Order 4YP97QC1I9 created | Generated 3540399 items | Pending 72441817 items]
[ID:143| Order DZ8JWP8IJK created | Generated 3572222 items | Pending 72409994 items]
[ID:144| Order DT52SH4WEW created | Generated 3582758 items | Pending 72399458 items]
[ID:145| Order IJO82AU6NL created | Generated 3612815 items | Pending 72369401 items]
[ID:146| Order 4YBF17UX3U created | Generated 3620367 items | Pending 72361849 items]
[ID:147| Order CX4JW6A3YX created | Generated 3627285 items | Pending 72354931 items]
[ID:148| Order T59XRKYSN7 created | Generated 3660763 items | Pending 72321453 items]
[ID:149| Order R1GM8MBW6V created | Generated 3686964 items | Pending 72295252 items]
[ID:150| Order JALIIYROT6 created | Generated 3717511 items | Pending 72264705 items]
[ID:151| Order 026UFPHV43 created | Generated 3722086 items | Pending 72260130 items]
[ID:152| Order Z3KKI52NKW created | Generated 3733797 items | Pending 72248419 items]
[ID:153| Order LEZFUVGIPR created | Generated 3744650 items | Pending 72237566 items]
[ID:154| Order V644SP8M1C created | Generated 3791213 items | Pending 72191003 items]
[ID:155| Order 64668LEMZP created | Generated 3829436 items | Pending 72152780 items]
[ID:156| Order W78DTTBZOS created | Generated 3870519 items | Pending 72111697 items]
[ID:157| Order DNHELC6CYF created | Generated 3880770 items | Pending 72101446 items]
[ID:158| Order 377UWWYXGG created | Generated 3919324 items | Pending 72062892 items]
[ID:159| Order 7T6BM3WMHO created | Generated 3940641 items | Pending 72041575 items]
[ID:160| Order 3EFL6G2K4O created | Generated 3977657 items | Pending 72004559 items]
[ID:161| Order Z56WCI0FKI created | Generated 4004802 items | Pending 71977414 items]
[ID:162| Order QHFQVX6QU8 created | Generated 4045468 items | Pending 71936748 items]
[ID:163| Order VWX3BG0MWA created | Generated 4053100 items | Pending 71929116 items]
[ID:164| Order 70K9VE7PEF created | Generated 4066514 items | Pending 71915702 items]
[ID:165| Order ZNMQ8CR4U5 created | Generated 4082066 items | Pending 71900150 items]
[ID:166| Order 3JNC57NIPG created | Generated 4109794 items | Pending 71872422 items]
[ID:167| Order 7GHKMKCH6A created | Generated 4121551 items | Pending 71860665 items]
[ID:168| Order MFMW0W2M05 created | Generated 4164193 items | Pending 71818023 items]
[ID:169| Order OV7JSUCQ2Z created | Generated 4197234 items | Pending 71784982 items]
[ID:170| Order M2YD4JA1F4 created | Generated 4220390 items | Pending 71761826 items]
[ID:171| Order G6ATOTE1KX created | Generated 4266765 items | Pending 71715451 items]
[ID:172| Order 1MUI1SKO9O created | Generated 4310274 items | Pending 71671942 items]
[ID:173| Order K4SU7665LS created | Generated 4342190 items | Pending 71640026 items]
[ID:174| Order MBQ6Y0ZKCI created | Generated 4373809 items | Pending 71608407 items]
[ID:175| Order 0GT0ZADTN6 created | Generated 4401063 items | Pending 71581153 items]
[ID:176| Order U2DV7WX9FW created | Generated 4404792 items | Pending 71577424 items]
[ID:177| Order 04880R8MYS created | Generated 4451530 items | Pending 71530686 items]
[ID:178| Order WI4OAPPTCT created | Generated 4497847 items | Pending 71484369 items]
[ID:179| Order 3H41DEVI46 created | Generated 4524069 items | Pending 71458147 items]
[ID:180| Order YKAV1IG3YY created | Generated 4555179 items | Pending 71427037 items]
[ID:181| Order JD7G3B2ZFA created | Generated 4566241 items | Pending 71415975 items]
[ID:182| Order 9L8R2RVWWF created | Generated 4582596 items | Pending 71399620 items]
[ID:183| Order D3UB0VZH8X created | Generated 4608271 items | Pending 71373945 items]
[ID:184| Order 796DER4Y9P created | Generated 4629250 items | Pending 71352966 items]
[ID:185| Order UHDZBIKU01 created | Generated 4665238 items | Pending 71316978 items]
[ID:186| Order 6NFDM2THEW created | Generated 4685237 items | Pending 71296979 items]
[ID:187| Order W68BP2QOX2 created | Generated 4726247 items | Pending 71255969 items]
[ID:188| Order 1QH5IA9H4J created | Generated 4761649 items | Pending 71220567 items]
[ID:189| Order O8UAKDQLKI created | Generated 4765305 items | Pending 71216911 items]
[ID:190| Order 7R477AUGD8 created | Generated 4810212 items | Pending 71172004 items]
[ID:191| Order 0Z0D5FDZQF created | Generated 4845264 items | Pending 71136952 items]
[ID:192| Order FXVGBMKATC created | Generated 4881742 items | Pending 71100474 items]
[ID:193| Order 0ARRQ721XK created | Generated 4929102 items | Pending 71053114 items]
[ID:194| Order V5UDBJPAVW created | Generated 4938892 items | Pending 71043324 items]
[ID:195| Order 1XT01ZL8U8 created | Generated 4960438 items | Pending 71021778 items]
[ID:196| Order 327Z7YKIEN created | Generated 4977902 items | Pending 71004314 items]
[ID:197| Order NUQQDOJYDA created | Generated 5011346 items | Pending 70970870 items]
[ID:198| Order 14EF862J0N created | Generated 5056513 items | Pending 70925703 items]
[ID:199| Order KH47JL7UB8 created | Generated 5077089 items | Pending 70905127 items]
[ID:200| Order JZUKR81ASK created | Generated 5090829 items | Pending 70891387 items]
[ID:201| Order GQZ3THJP5D created | Generated 5134973 items | Pending 70847243 items]
[ID:202| Order DGH5BXLY39 created | Generated 5160378 items | Pending 70821838 items]
[ID:203| Order TPWPSPJPC0 created | Generated 5198753 items | Pending 70783463 items]
[ID:204| Order 9U3IEWCD8H created | Generated 5214650 items | Pending 70767566 items]
[ID:205| Order YZC9OX8H5N created | Generated 5230202 items | Pending 70752014 items]
[ID:206| Order YIFQUZHDL0 created | Generated 5243287 items | Pending 70738929 items]
[ID:207| Order O6GWDDKIY6 created | Generated 5281816 items | Pending 70700400 items]
[ID:208| Order LPC3964G6U created | Generated 5308308 items | Pending 70673908 items]
[ID:209| Order W0EDWSOH13 created | Generated 5330130 items | Pending 70652086 items]
[ID:210| Order 3O78ZQJXMH created | Generated 5355317 items | Pending 70626899 items]
[ID:211| Order T9MOUUKX71 created | Generated 5390501 items | Pending 70591715 items]
[ID:212| Order B6AVA134PG created | Generated 5438695 items | Pending 70543521 items]
[ID:213| Order KA904PVZCJ created | Generated 5456760 items | Pending 70525456 items]
[ID:214| Order GC7KWX06IC created | Generated 5504367 items | Pending 70477849 items]
[ID:215| Order 6EY6EOJ8US created | Generated 5537491 items | Pending 70444725 items]
[ID:216| Order BKML674OWK created | Generated 5570828 items | Pending 70411388 items]
[ID:217| Order CJTFP972RY created | Generated 5598629 items | Pending 70383587 items]
[ID:218| Order EWIQ25EO33 created | Generated 5612701 items | Pending 70369515 items]
[ID:219| Order WBJQVMMIB5 created | Generated 5629764 items | Pending 70352452 items]
[ID:220| Order IOA9HGBPR8 created | Generated 5641562 items | Pending 70340654 items]
[ID:221| Order FG6SWBGD64 created | Generated 5684713 items | Pending 70297503 items]
[ID:222| Order AJLJT2FL9L created | Generated 5733730 items | Pending 70248486 items]
[ID:223| Order Z0C95MOZUX created | Generated 5759194 items | Pending 70223022 items]
[ID:224| Order YVOOYZ23LP created | Generated 5771099 items | Pending 70211117 items]
[ID:225| Order OEDV9ORDF3 created | Generated 5816237 items | Pending 70165979 items]
[ID:226| Order HZXQCWP6LM created | Generated 5839335 items | Pending 70142881 items]
[ID:227| Order AIITZSEPI6 created | Generated 5875599 items | Pending 70106617 items]
[ID:228| Order KHH5R0P4PT created | Generated 5899630 items | Pending 70082586 items]
[ID:229| Order EDPAI9NVTW created | Generated 5921179 items | Pending 70061037 items]
[ID:230| Order JC00TQP7HX created | Generated 5965948 items | Pending 70016268 items]
[ID:231| Order RGHBA9VHXD created | Generated 6003146 items | Pending 69979070 items]
[ID:232| Order GU1SFBOUZW created | Generated 6016230 items | Pending 69965986 items]
[ID:233| Order 4LBP7EP7J4 created | Generated 6038251 items | Pending 69943965 items]
[ID:234| Order 19FIZ9V6YU created | Generated 6052682 items | Pending 69929534 items]
[ID:235| Order XPZ9LX6FSH created | Generated 6075790 items | Pending 69906426 items]
[ID:236| Order FE6L6RXYN0 created | Generated 6097570 items | Pending 69884646 items]
[ID:237| Order 2RSU9LR4ZH created | Generated 6124154 items | Pending 69858062 items]
[ID:238| Order WJIOW26IPN created | Generated 6158197 items | Pending 69824019 items]
[ID:239| Order 60VACTUDCV created | Generated 6197117 items | Pending 69785099 items]
[ID:240| Order 3MXLYSAF95 created | Generated 6212627 items | Pending 69769589 items]
[ID:241| Order 5KGBN8MJU3 created | Generated 6232760 items | Pending 69749456 items]
[ID:242| Order X0GHK9KD1P created | Generated 6235733 items | Pending 69746483 items]
[ID:243| Order 45WG5K6JQU created | Generated 6269671 items | Pending 69712545 items]
[ID:244| Order XO75HCYI1B created | Generated 6278053 items | Pending 69704163 items]
[ID:245| Order W31RXIBB8H created | Generated 6302736 items | Pending 69679480 items]
[ID:246| Order 7C732SLW2X created | Generated 6315843 items | Pending 69666373 items]
[ID:247| Order 39BXH7ZUYM created | Generated 6362131 items | Pending 69620085 items]
[ID:248| Order W7XW9QJLTR created | Generated 6378806 items | Pending 69603410 items]
[ID:249| Order 4LKSLPA5HP created | Generated 6407441 items | Pending 69574775 items]
[ID:250| Order F8H6JUE85T created | Generated 6420846 items | Pending 69561370 items]
[ID:251| Order IRL678RIL7 created | Generated 6443684 items | Pending 69538532 items]
[ID:252| Order H2P7AGW9YI created | Generated 6453210 items | Pending 69529006 items]
[ID:253| Order 9N9BW0AI0F created | Generated 6483332 items | Pending 69498884 items]
[ID:254| Order VNYFDQE7QJ created | Generated 6528476 items | Pending 69453740 items]
[ID:255| Order RYHDBTSJTQ created | Generated 6570245 items | Pending 69411971 items]
[ID:256| Order 2E7FPXL5JH created | Generated 6607964 items | Pending 69374252 items]
[ID:257| Order ABFIM953CF created | Generated 6646572 items | Pending 69335644 items]
[ID:258| Order C8VZA8GJU2 created | Generated 6677278 items | Pending 69304938 items]
[ID:259| Order CIL4DLPW4A created | Generated 6723955 items | Pending 69258261 items]
[ID:260| Order BN1GYBACNH created | Generated 6749257 items | Pending 69232959 items]
[ID:261| Order L1AKGB4CBM created | Generated 6758683 items | Pending 69223533 items]
[ID:262| Order 52NPWZPR9R created | Generated 6786876 items | Pending 69195340 items]
[ID:263| Order 0MDYYMLTG1 created | Generated 6834225 items | Pending 69147991 items]
[ID:264| Order O8636UFURB created | Generated 6861985 items | Pending 69120231 items]
[ID:265| Order NT4FFX3V9G created | Generated 6869051 items | Pending 69113165 items]
[ID:266| Order M442LL5N7L created | Generated 6882748 items | Pending 69099468 items]
[ID:267| Order B9PF2S4U3G created | Generated 6906534 items | Pending 69075682 items]
[ID:268| Order OJ3WAKQXG7 created | Generated 6919298 items | Pending 69062918 items]
[ID:269| Order BC3KJI7HJX created | Generated 6950265 items | Pending 69031951 items]
[ID:270| Order MW03OF2DO8 created | Generated 6992265 items | Pending 68989951 items]
[ID:271| Order PL36F02F5N created | Generated 7004587 items | Pending 68977629 items]
[ID:272| Order 8HDHCUCHL9 created | Generated 7040273 items | Pending 68941943 items]
[ID:273| Order LM57MR3E6M created | Generated 7044001 items | Pending 68938215 items]
[ID:274| Order 7D2DEJM2ZY created | Generated 7050191 items | Pending 68932025 items]
[ID:275| Order 92DZ8LTU4O created | Generated 7080839 items | Pending 68901377 items]
[ID:276| Order 1HGBRFNTX7 created | Generated 7093916 items | Pending 68888300 items]
[ID:277| Order N0I64COA1B created | Generated 7116845 items | Pending 68865371 items]
[ID:278| Order HQRM6SO5GM created | Generated 7165896 items | Pending 68816320 items]
[ID:279| Order SUA7TPHHU8 created | Generated 7183839 items | Pending 68798377 items]
[ID:280| Order 95UOY6R964 created | Generated 7215110 items | Pending 68767106 items]
[ID:281| Order 9TKR8PQ0QT created | Generated 7228470 items | Pending 68753746 items]
[ID:282| Order 9INVC2RSD6 created | Generated 7242719 items | Pending 68739497 items]
[ID:283| Order 800UH8IADR created | Generated 7262458 items | Pending 68719758 items]
[ID:284| Order UYG5859HKW created | Generated 7279215 items | Pending 68703001 items]
[ID:285| Order FVS9CN5OLZ created | Generated 7295322 items | Pending 68686894 items]
[ID:286| Order 3S46FTF0VP created | Generated 7328016 items | Pending 68654200 items]
[ID:287| Order 5938J16352 created | Generated 7335739 items | Pending 68646477 items]
[ID:288| Order 0UZT2067TG created | Generated 7340755 items | Pending 68641461 items]
[ID:289| Order W8G5FS15S4 created | Generated 7373268 items | Pending 68608948 items]
[ID:290| Order D5Q502JAAY created | Generated 7419114 items | Pending 68563102 items]
[ID:291| Order KX08L0VN0F created | Generated 7433105 items | Pending 68549111 items]
[ID:292| Order B4VN5UHVZN created | Generated 7436162 items | Pending 68546054 items]
[ID:293| Order G8BHWHJT83 created | Generated 7469012 items | Pending 68513204 items]
[ID:294| Order 1CQMHGHOHC created | Generated 7486881 items | Pending 68495335 items]
[ID:295| Order NTMOGV02WH created | Generated 7514621 items | Pending 68467595 items]
[ID:296| Order SF8HYD1R1Z created | Generated 7534040 items | Pending 68448176 items]
[ID:297| Order Y45VR6XFVT created | Generated 7534585 items | Pending 68447631 items]
[ID:298| Order AKOXRPAPM3 created | Generated 7555897 items | Pending 68426319 items]
[ID:299| Order ZTYHV2341J created | Generated 7565479 items | Pending 68416737 items]
[ID:300| Order Y1D106LB7L created | Generated 7616159 items | Pending 68366057 items]
[ID:301| Order 37ZSOZL3NQ created | Generated 7654461 items | Pending 68327755 items]
[ID:302| Order J0G7YSXVZP created | Generated 7660272 items | Pending 68321944 items]
[ID:303| Order 0R436HDEVN created | Generated 7686458 items | Pending 68295758 items]
[ID:304| Order VU8U248RL8 created | Generated 7690803 items | Pending 68291413 items]
[ID:305| Order 3EMTVQ1K0D created | Generated 7707638 items | Pending 68274578 items]
[ID:306| Order G179GGBL54 created | Generated 7749261 items | Pending 68232955 items]
[ID:307| Order AY7328GYVC created | Generated 7764346 items | Pending 68217870 items]
[ID:308| Order MMWUH2I73G created | Generated 7776660 items | Pending 68205556 items]
[ID:309| Order D2BDKZPPZY created | Generated 7793174 items | Pending 68189042 items]
[ID:310| Order V8KGGRRUZR created | Generated 7816446 items | Pending 68165770 items]
[ID:311| Order 1DPPC83LVZ created | Generated 7849823 items | Pending 68132393 items]
[ID:312| Order LK0NONYD3R created | Generated 7873732 items | Pending 68108484 items]
[ID:313| Order IZXE0YMC8T created | Generated 7918917 items | Pending 68063299 items]
[ID:314| Order 67VUDG6S4U created | Generated 7928060 items | Pending 68054156 items]
[ID:315| Order TV5PXTCYTS created | Generated 7975586 items | Pending 68006630 items]
[ID:316| Order VO4Q9UUZHC created | Generated 7989708 items | Pending 67992508 items]
[ID:317| Order VWNL1T62OV created | Generated 7996190 items | Pending 67986026 items]
[ID:318| Order E3QXQDKPQS created | Generated 8000866 items | Pending 67981350 items]
[ID:319| Order CGBN7C40NH created | Generated 8007494 items | Pending 67974722 items]
[ID:320| Order U8K28Q9ZN2 created | Generated 8025225 items | Pending 67956991 items]
[ID:321| Order CO9RVXH6U7 created | Generated 8049476 items | Pending 67932740 items]
[ID:322| Order CPP9VJASQP created | Generated 8075415 items | Pending 67906801 items]
[ID:323| Order MLKLDSR3MO created | Generated 8107312 items | Pending 67874904 items]
[ID:324| Order RID86HEZZJ created | Generated 8112327 items | Pending 67869889 items]
[ID:325| Order T7EZQW67K0 created | Generated 8123825 items | Pending 67858391 items]
[ID:326| Order 2VDF06KFC5 created | Generated 8155834 items | Pending 67826382 items]
[ID:327| Order XLSRXMJLGK created | Generated 8162395 items | Pending 67819821 items]
[ID:328| Order ALU8QOM1BT created | Generated 8204559 items | Pending 67777657 items]
[ID:329| Order ZP6YGK9MR4 created | Generated 8245891 items | Pending 67736325 items]
[ID:330| Order WC0Y7Z7B11 created | Generated 8272302 items | Pending 67709914 items]
[ID:331| Order 5YJWXSXDPF created | Generated 8318926 items | Pending 67663290 items]
[ID:332| Order 2NBNMLGTTJ created | Generated 8326695 items | Pending 67655521 items]
[ID:333| Order KA9HOEXDKH created | Generated 8354077 items | Pending 67628139 items]
[ID:334| Order 50SYQEFRAF created | Generated 8368903 items | Pending 67613313 items]
[ID:335| Order PL6NJ9RY8Y created | Generated 8382703 items | Pending 67599513 items]
[ID:336| Order 8CNBGWPJ1I created | Generated 8393848 items | Pending 67588368 items]
[ID:337| Order BU4JN60JC9 created | Generated 8406065 items | Pending 67576151 items]
[ID:338| Order XWITP0VT5I created | Generated 8422816 items | Pending 67559400 items]
[ID:339| Order V2262KTIT3 created | Generated 8437721 items | Pending 67544495 items]
