id, identification, total_despatched, total_age, total_cost, total_wage, demand, flow, total_order
79, RLRNRN20, 0.00262322, 0.00272138, 0.00234571, 0.00234571, 0.00262322, 0.00268497, 0.00225151
80, RLRNRN25, 0.00262322, 0.00182631, 0.00212556, 0.00212556, 0.00262322, 0.00265141, 0.00228001
81, RLRNRN32, 0.00262322, 0.00199268, 0.00188370, 0.00188370, 0.00262322, 0.00314241, 0.00192376
82, RLRT1/2X, 0.00262322, 0.00277445, 0.00253640, 0.00253640, 0.00262322, 0.00246643, 0.00245102
83, RLRT51/2, 0.00262322, 0.00297393, 0.00254415, 0.00254415, 0.00262322, 0.00252515, 0.00239401
84, RLRTRT20, 0.00262322, 0.00278571, 0.00274260, 0.00274260, 0.00262322, 0.00220951, 0.00273602
85, RLRTRT25, 0.00262322, 0.00241274, 0.00243873, 0.00243873, 0.00262322, 0.00260261, 0.00232276
86, RLRTRT32, 0.00262322, 0.00220143, 0.00242013, 0.00242013, 0.00262322, 0.00235681, 0.00256502
87, RLRTT20X, 0.00262322, 0.00226196, 0.00206819, 0.00206819, 0.00262322, 0.00290566, 0.00208051
88, RLRTT25X, 0.00262322, 0.00239764, 0.00237516, 0.00237516, 0.00262322, 0.00273694, 0.00220876
89, RLRTT32X, 0.00262322, 0.00204957, 0.00224803, 0.00224803, 0.00262322, 0.00273694, 0.00220876
90, RN11N110, 0.00262322, 0.00210032, 0.00229610, 0.00229610, 0.00262322, 0.00255558, 0.00236551
91, RN12N125, 0.00262322, 0.00250782, 0.00241547, 0.00241547, 0.00262322, 0.00261868, 0.00230851
92, RN14N140, 0.00262322, 0.00229646, 0.00235966, 0.00235966, 0.00262322, 0.00275471, 0.00219451
93, RN16N160, 0.00262322, 0.00232123, 0.00220307, 0.00220307, 0.00262322, 0.00273694, 0.00220876
94, RN20N200, 0.00262322, 0.00269248, 0.00258136, 0.00258136, 0.00262322, 0.00241037, 0.00250802
95, RN20N20X, 0.00262322, 0.00259761, 0.00284803, 0.00284803, 0.00262322, 0.00222108, 0.00272177
96, RN20RN20, 0.00262322, 0.00212504, 0.00231315, 0.00231315, 0.00262322, 0.00273694, 0.00220876
97, RN25N25X, 0.00262322, 0.00259802, 0.00231160, 0.00231160, 0.00262322, 0.00261868, 0.00230851
98, RN25RN25, 0.00262322, 0.00294771, 0.00261237, 0.00261237, 0.00262322, 0.00241037, 0.00250802
99, RN32N32X, 0.00262322, 0.00249843, 0.00244493, 0.00244493, 0.00262322, 0.00251021, 0.00240827
100, RN32RN32, 0.00262322, 0.00200402, 0.00221238, 0.00221238, 0.00262322, 0.00280944, 0.00215176
101, RN40N40X, 0.00262322, 0.00251178, 0.00230850, 0.00230850, 0.00262322, 0.00257107, 0.00235126
102, RN40RN40, 0.00262322, 0.00153133, 0.00166975, 0.00166975, 0.00262322, 0.00336687, 0.00179551
103, RN50N50X, 0.00262322, 0.00245486, 0.00241702, 0.00241702, 0.00262322, 0.00261868, 0.00230851
104, RN50RN50, 0.00262322, 0.00264768, 0.00277826, 0.00277826, 0.00262322, 0.00223277, 0.00270752
105, RN63N63X, 0.00262322, 0.00232137, 0.00233641, 0.00233641, 0.00262322, 0.00255558, 0.00236551
106, RN63RN63, 0.00262322, 0.00224490, 0.00216276, 0.00216276, 0.00262322, 0.00270208, 0.00223726
107, RN75N75X, 0.00262322, 0.00223428, 0.00232865, 0.00232865, 0.00262322, 0.00251021, 0.00240827
108, RN75RN75, 0.00262322, 0.00249204, 0.00232245, 0.00232245, 0.00262322, 0.00257107, 0.00235126
109, RN90RN90, 0.00262322, 0.00241519, 0.00235966, 0.00235966, 0.00262322, 0.00246643, 0.00245102
110, RNB14010, 0.00262322, 0.00200863, 0.00208525, 0.00208525, 0.00262322, 0.00284715, 0.00212326
111, RNB1B125, 0.00262322, 0.00207121, 0.00222943, 0.00222943, 0.00262322, 0.00270208, 0.00223726
112, RNB1B140, 0.00262322, 0.00234148, 0.00252090, 0.00252090, 0.00262322, 0.00242415, 0.00249377
113, RNB1B160, 0.00262322, 0.00219921, 0.00247129, 0.00247129, 0.00262322, 0.00257107, 0.00235126
114, RNB1B180, 0.00262322, 0.00216845, 0.00201083, 0.00201083, 0.00262322, 0.00284715, 0.00212326
115, RNB20010, 0.00262322, 0.00235066, 0.00242788, 0.00242788, 0.00262322, 0.00252515, 0.00239401
116, RNB2B200, 0.00262322, 0.00212968, 0.00223873, 0.00223873, 0.00262322, 0.00260261, 0.00232276
117, RNC10110, 0.00262322, 0.00202514, 0.00218602, 0.00218602, 0.00262322, 0.00266809, 0.00226576
118, RNC10140, 0.00262322, 0.00211508, 0.00205424, 0.00205424, 0.00262322, 0.00265141, 0.00228001
119, RNC11050, 0.00262322, 0.00264863, 0.00266663, 0.00266663, 0.00262322, 0.00238329, 0.00253652
120, RNC11063, 0.00262322, 0.00263489, 0.00219997, 0.00219997, 0.00262322, 0.00255558, 0.00236551
121, RNC11075, 0.00262322, 0.00224955, 0.00222633, 0.00222633, 0.00262322, 0.00270208, 0.00223726
122, RNC11090, 0.00262322, 0.00210905, 0.00211160, 0.00211160, 0.00262322, 0.00275471, 0.00219451
123, RNC1110D, 0.00262322, 0.00241553, 0.00265578, 0.00265578, 0.00262322, 0.00233091, 0.00259352
124, RNC14090, 0.00262322, 0.00184686, 0.00190695, 0.00190695, 0.00262322, 0.00305199, 0.00198076
125, RNC15110, 0.00262322, 0.00263246, 0.00251780, 0.00251780, 0.00262322, 0.00266809, 0.00226576
126, RNC20125, 0.00262322, 0.00189900, 0.00204028, 0.00204028, 0.00262322, 0.00290566, 0.00208051
127, RNC22520, 0.00262322, 0.00227667, 0.00223098, 0.00223098, 0.00262322, 0.00275471, 0.00219451
128, RNC2520X, 0.00262322, 0.00194088, 0.00227594, 0.00227594, 0.00262322, 0.00279096, 0.00216601
129, RNC3220X, 0.00262322, 0.00259424, 0.00271470, 0.00271470, 0.00262322, 0.00239676, 0.00252227
130, RNC3225X, 0.00262322, 0.00257411, 0.00256896, 0.00256896, 0.00262322, 0.00246643, 0.00245102
131, RNC33220, 0.00262322, 0.00242240, 0.00240617, 0.00240617, 0.00262322, 0.00258674, 0.00233701
132, RNC33225, 0.00262322, 0.00201811, 0.00216276, 0.00216276, 0.00262322, 0.00273694, 0.00220876
133, RNC4020X, 0.00262322, 0.00221433, 0.00241857, 0.00241857, 0.00262322, 0.00270208, 0.00223726
134, RNC4025X, 0.00262322, 0.00226139, 0.00255966, 0.00255966, 0.00262322, 0.00251021, 0.00240827
135, RNC4032X, 0.00262322, 0.00243162, 0.00242168, 0.00242168, 0.00262322, 0.00252515, 0.00239401
136, RNC44020, 0.00262322, 0.00259944, 0.00234726, 0.00234726, 0.00262322, 0.00235681, 0.00256502
137, RNC44025, 0.00262322, 0.00222267, 0.00221393, 0.00221393, 0.00262322, 0.00260261, 0.00232276
138, RNC44032, 0.00262322, 0.00190742, 0.00219842, 0.00219842, 0.00262322, 0.00265141, 0.00228001
139, RNC5020X, 0.00262322, 0.00272431, 0.00255346, 0.00255346, 0.00262322, 0.00248085, 0.00243677
140, RNC5025X, 0.00262322, 0.00218811, 0.00216121, 0.00216121, 0.00262322, 0.00266809, 0.00226576
141, RNC5032X, 0.00262322, 0.00226780, 0.00222943, 0.00222943, 0.00262322, 0.00254028, 0.00237976
142, RNC5040X, 0.00262322, 0.00244182, 0.00264338, 0.00264338, 0.00262322, 0.00228078, 0.00265052
143, RNC55020, 0.00262322, 0.00194219, 0.00200773, 0.00200773, 0.00262322, 0.00284715, 0.00212326
144, RNC55025, 0.00262322, 0.00229804, 0.00239532, 0.00239532, 0.00262322, 0.00254028, 0.00237976
145, RNC55032, 0.00262322, 0.00227981, 0.00222633, 0.00222633, 0.00262322, 0.00252515, 0.00239401
146, RNC55040, 0.00262322, 0.00208800, 0.00226974, 0.00226974, 0.00262322, 0.00251021, 0.00240827
147, RNC6340X, 0.00262322, 0.00215405, 0.00216431, 0.00216431, 0.00262322, 0.00270208, 0.00223726
148, RNC6350X, 0.00262322, 0.00194539, 0.00222323, 0.00222323, 0.00262322, 0.00241037, 0.00250802
149, RNC66325, 0.00262322, 0.00222708, 0.00246509, 0.00246509, 0.00262322, 0.00260261, 0.00232276
150, RNC66332, 0.00262322, 0.00208716, 0.00227284, 0.00227284, 0.00262322, 0.00258674, 0.00233701
151, RNC66340, 0.00262322, 0.00252851, 0.00234261, 0.00234261, 0.00262322, 0.00268497, 0.00225151
152, RNC66350, 0.00262322, 0.00262595, 0.00241082, 0.00241082, 0.00262322, 0.00245217, 0.00246527
153, RNC7540X, 0.00262322, 0.00235720, 0.00230230, 0.00230230, 0.00262322, 0.00260261, 0.00232276
154, RNC7563X, 0.00262322, 0.00232039, 0.00241857, 0.00241857, 0.00262322, 0.0027194, 0.00222301
155, RNC77532, 0.00262322, 0.00224485, 0.00240772, 0.00240772, 0.00262322, 0.00254028, 0.00237976
156, RNC77540, 0.00262322, 0.00262464, 0.00264958, 0.00264958, 0.00262322, 0.00224458, 0.00269327
157, RNC77550, 0.00262322, 0.00241289, 0.00224958, 0.00224958, 0.00262322, 0.00282817, 0.00213751
158, RNC77563, 0.00262322, 0.00302103, 0.00258601, 0.00258601, 0.00262322, 0.00255558, 0.00236551
159, RNC9075X, 0.00262322, 0.00248404, 0.00236121, 0.00236121, 0.00262322, 0.00258674, 0.00233701
160, RNC99050, 0.00262322, 0.00238175, 0.00228989, 0.00228989, 0.00262322, 0.00263494, 0.00229426
161, RNC99063, 0.00262322, 0.00241193, 0.00219377, 0.00219377, 0.00262322, 0.00280944, 0.00215176
162, RNC99075, 0.00262322, 0.00268986, 0.00242323, 0.00242323, 0.00262322, 0.00249545, 0.00242252
163, RNRN1/2X, 0.00262322, 0.00221079, 0.00217517, 0.00217517, 0.00262322, 0.00258674, 0.00233701
164, RNRN51/2, 0.00262322, 0.00231473, 0.00213796, 0.00213796, 0.00262322, 0.00279096, 0.00216601
165, RNRNN110, 0.00262322, 0.00254165, 0.00237206, 0.00237206, 0.00262322, 0.00251021, 0.00240827
166, RNRNN20X, 0.00262322, 0.00205255, 0.00227284, 0.00227284, 0.00262322, 0.00260261, 0.00232276
167, RNRNN25X, 0.00262322, 0.00228855, 0.00235811, 0.00235811, 0.00262322, 0.00258674, 0.00233701
168, RNRNN32X, 0.00262322, 0.00204041, 0.00231470, 0.00231470, 0.00262322, 0.00284715, 0.00212326
169, RNRNN40X, 0.00262322, 0.00243770, 0.00216741, 0.00216741, 0.00262322, 0.00263494, 0.00229426
170, RNRNN50X, 0.00262322, 0.00250832, 0.00240462, 0.00240462, 0.00262322, 0.00263494, 0.00229426
171, RNRNN63X, 0.00262322, 0.00237515, 0.00236121, 0.00236121, 0.00262322, 0.00261868, 0.00230851
172, RNRNRN20, 0.00262322, 0.00200050, 0.00212090, 0.00212090, 0.00262322, 0.0027194, 0.00222301
173, RNRNRN25, 0.00262322, 0.00266950, 0.00260462, 0.00260462, 0.00262322, 0.00235681, 0.00256502
174, RNRNRN32, 0.00262322, 0.00187085, 0.00232400, 0.00232400, 0.00262322, 0.00270208, 0.00223726
175, RNRNRN40, 0.00262322, 0.00250113, 0.00214261, 0.00214261, 0.00262322, 0.0027194, 0.00222301
176, RNRNRN50, 0.00262322, 0.00242525, 0.00217517, 0.00217517, 0.00262322, 0.00280944, 0.00215176
177, RNRNRN63, 0.00262322, 0.00219464, 0.00225579, 0.00225579, 0.00262322, 0.00268497, 0.00225151
178, RNRNRN75, 0.00262322, 0.00223140, 0.00228679, 0.00228679, 0.00262322, 0.00268497, 0.00225151
179, RNRNRN90, 0.00262322, 0.00283501, 0.00274415, 0.00274415, 0.00262322, 0.00236998, 0.00255077
180, RNRT1/2X, 0.00262322, 0.00195473, 0.00205269, 0.00205269, 0.00262322, 0.00255558, 0.00236551
181, RNRT1010, 0.00262322, 0.00219282, 0.00219067, 0.00219067, 0.00262322, 0.00260261, 0.00232276
182, RNRT51/2, 0.00262322, 0.00247065, 0.00236431, 0.00236431, 0.00262322, 0.00254028, 0.00237976
183, RNRTRT20, 0.00262322, 0.00241006, 0.00223408, 0.00223408, 0.00262322, 0.00277272, 0.00218026
184, RNRTRT25, 0.00262322, 0.00235217, 0.00225113, 0.00225113, 0.00262322, 0.00261868, 0.00230851
185, RNRTRT32, 0.00262322, 0.00180897, 0.00172556, 0.00172556, 0.00262322, 0.00344899, 0.00175276
186, RNRTRT40, 0.00262322, 0.00200442, 0.00214106, 0.00214106, 0.00262322, 0.00277272, 0.00218026
187, RNRTRT50, 0.00262322, 0.00184592, 0.00188680, 0.00188680, 0.00262322, 0.00326328, 0.00185251
188, RNRTRT63, 0.00262322, 0.00253960, 0.00238137, 0.00238137, 0.00262322, 0.00254028, 0.00237976
189, RNRTRT75, 0.00262322, 0.00241932, 0.00242943, 0.00242943, 0.00262322, 0.00266809, 0.00226576
190, RNRTRT90, 0.00262322, 0.00200670, 0.00216121, 0.00216121, 0.00262322, 0.00288589, 0.00209476
191, RNRTT20X, 0.00262322, 0.00223710, 0.00217517, 0.00217517, 0.00262322, 0.00252515, 0.00239401
192, RNRTT25X, 0.00262322, 0.00229894, 0.00229299, 0.00229299, 0.00262322, 0.00273694, 0.00220876
193, RNRTT32X, 0.00262322, 0.00292541, 0.00273485, 0.00273485, 0.00262322, 0.00239676, 0.00252227
194, RNRTT40X, 0.00262322, 0.00241338, 0.00221238, 0.00221238, 0.00262322, 0.00261868, 0.00230851
195, RNRTT50X, 0.00262322, 0.00201238, 0.00221703, 0.00221703, 0.00262322, 0.00263494, 0.00229426
196, ROT2OT20, 0.00262322, 0.00217187, 0.00203098, 0.00203098, 0.00262322, 0.00298751, 0.00202351
197, ROT2OT25, 0.00262322, 0.00200783, 0.00219067, 0.00219067, 0.00262322, 0.00273694, 0.00220876
198, ROT2T20X, 0.00262322, 0.00230378, 0.00237827, 0.00237827, 0.00262322, 0.00254028, 0.00237976
199, ROT2T25X, 0.00262322, 0.00223046, 0.00246043, 0.00246043, 0.00262322, 0.00235681, 0.00256502
200, RT11T110, 0.00262322, 0.00256515, 0.00234571, 0.00234571, 0.00262322, 0.00288589, 0.00209476
201, RT12T125, 0.00262322, 0.00212109, 0.00229144, 0.00229144, 0.00262322, 0.00275471, 0.00219451
202, RT14T140, 0.00262322, 0.00263920, 0.00231780, 0.00231780, 0.00262322, 0.00254028, 0.00237976
203, RT166016, 0.00262322, 0.00245890, 0.00254105, 0.00254105, 0.00262322, 0.00254028, 0.00237976
204, RT20RT20, 0.00262322, 0.00214386, 0.00231160, 0.00231160, 0.00262322, 0.00246643, 0.00245102
205, RT20T20X, 0.00262322, 0.00233006, 0.00244493, 0.00244493, 0.00262322, 0.00249545, 0.00242252
206, RT25RT25, 0.00262322, 0.00232659, 0.00257671, 0.00257671, 0.00262322, 0.00228078, 0.00265052
207, RT25T25X, 0.00262322, 0.00232806, 0.00237516, 0.00237516, 0.00262322, 0.00263494, 0.00229426
208, RT32RT32, 0.00262322, 0.00220303, 0.00222478, 0.00222478, 0.00262322, 0.00266809, 0.00226576
209, RT32T32X, 0.00262322, 0.00252700, 0.00232555, 0.00232555, 0.00262322, 0.00260261, 0.00232276
210, RT40RT40, 0.00262322, 0.00223415, 0.00254260, 0.00254260, 0.00262322, 0.00246643, 0.00245102
211, RT40T40X, 0.00262322, 0.00232326, 0.00251935, 0.00251935, 0.00262322, 0.00251021, 0.00240827
212, RT50RT50, 0.00262322, 0.00239464, 0.00227904, 0.00227904, 0.00262322, 0.00284715, 0.00212326
213, RT50T50X, 0.00262322, 0.00226913, 0.00229765, 0.00229765, 0.00262322, 0.00265141, 0.00228001
214, RT63RT63, 0.00262322, 0.00237775, 0.00216431, 0.00216431, 0.00262322, 0.00270208, 0.00223726
215, RT63T63X, 0.00262322, 0.00230392, 0.00235346, 0.00235346, 0.00262322, 0.00257107, 0.00235126
216, RT75RT75, 0.00262322, 0.00211579, 0.00232555, 0.00232555, 0.00262322, 0.00258674, 0.00233701
217, RT75T75X, 0.00262322, 0.00233708, 0.00247284, 0.00247284, 0.00262322, 0.00228078, 0.00265052
218, RT90RT90, 0.00262322, 0.00212745, 0.00223563, 0.00223563, 0.00262322, 0.00277272, 0.00218026
219, RTC11063, 0.00262322, 0.00258304, 0.00233330, 0.00233330, 0.00262322, 0.00255558, 0.00236551
220, RTC11075, 0.00262322, 0.00251511, 0.00230230, 0.00230230, 0.00262322, 0.00266809, 0.00226576
221, RTC11090, 0.00262322, 0.00268379, 0.00248679, 0.00248679, 0.00262322, 0.00258674, 0.00233701
222, RTC14075, 0.00262322, 0.00254067, 0.00246974, 0.00246974, 0.00262322, 0.00260261, 0.00232276
223, RTC22520, 0.00262322, 0.00240457, 0.00212556, 0.00212556, 0.00262322, 0.00245217, 0.00246527
224, RTC24016, 0.00262322, 0.00184703, 0.00187284, 0.00187284, 0.00262322, 0.00303019, 0.00199501
225, RTC2520X, 0.00262322, 0.00240943, 0.00233641, 0.00233641, 0.00262322, 0.00245217, 0.00246527
226, RTC3220X, 0.00262322, 0.00222394, 0.00216431, 0.00216431, 0.00262322, 0.00286639, 0.00210901
227, RTC3225X, 0.00262322, 0.00204631, 0.00206509, 0.00206509, 0.00262322, 0.00284715, 0.00212326
228, RTC33220, 0.00262322, 0.00219898, 0.00212090, 0.00212090, 0.00262322, 0.00300869, 0.00200926
229, RTC33225, 0.00262322, 0.00223413, 0.00218447, 0.00218447, 0.00262322, 0.00273694, 0.00220876
230, RTC4025X, 0.00262322, 0.00215096, 0.00241702, 0.00241702, 0.00262322, 0.00249545, 0.00242252
231, RTC4032X, 0.00262322, 0.00273058, 0.00244028, 0.00244028, 0.00262322, 0.00254028, 0.00237976
232, RTC44020, 0.00262322, 0.00286789, 0.00278756, 0.00278756, 0.00262322, 0.00224458, 0.00269327
233, RTC44025, 0.00262322, 0.00280284, 0.00273640, 0.00273640, 0.00262322, 0.00231817, 0.00260777
234, RTC44032, 0.00262322, 0.00194584, 0.00192556, 0.00192556, 0.00262322, 0.00303019, 0.00199501
235, RTC5025X, 0.00262322, 0.00252749, 0.00269454, 0.00269454, 0.00262322, 0.00228078, 0.00265052
236, RTC5032X, 0.00262322, 0.00213937, 0.00213176, 0.00213176, 0.00262322, 0.00284715, 0.00212326
237, RTC5040X, 0.00262322, 0.00256727, 0.00218912, 0.00218912, 0.00262322, 0.00257107, 0.00235126
238, RTC55020, 0.00262322, 0.00207068, 0.00222633, 0.00222633, 0.00262322, 0.00255558, 0.00236551
239, RTC55025, 0.00262322, 0.00294403, 0.00261237, 0.00261237, 0.00262322, 0.00242415, 0.00249377
