id, product, total_despatched, total_age, total_cost, total_wage, demand, flow, total_order
44, RL25L25X, 1260, 10400114693000, 8064000, 17640000, 3.45205479, 8.51351351, 148
45, RL25RL25, 1518, 12159472820000, 9715200, 21252000, 4.15890411, 10.12000000, 150
46, RL32L32X, 1745, 13637993670000, 11168000, 24430000, 4.78082192, 9.38172043, 186
47, RL32RL32, 1503, 11372369819000, 9619200, 21042000, 4.11780822, 9.22085890, 163
48, RL40L40X, 1781, 13400340393000, 11398400, 24934000, 4.87945205, 9.73224044, 183
49, RL40RL40, 1550, 11841341172000, 9920000, 21700000, 4.24657534, 9.62732919, 161
50, RL50L50X, 1505, 11521675575000, 9632000, 21070000, 4.12328767, 8.75000000, 172
51, RL50RL50, 1646, 11794181914000, 10534400, 23044000, 4.50958904, 9.14444444, 180
52, RL63L63X, 1412, 11484509161000, 9036800, 19768000, 3.86849315, 8.99363057, 157
53, RL63RL63, 1682, 13799452480000, 10764800, 23548000, 4.60821918, 9.04301075, 186
54, RL75L75X, 1402, 10170634520000, 8972800, 19628000, 3.84109589, 8.29585799, 169
55, RL75RL75, 1482, 11685395316000, 9484800, 20748000, 4.06027397, 8.87425150, 167
56, RL90L90X, 1626, 12554481155000, 10406400, 22764000, 4.45479452, 9.79518072, 166
57, RL90RL90, 1525, 11962620603000, 9760000, 21350000, 4.17808219, 9.83870968, 155
58, RLKR51/2, 1507, 11342190825000, 9644800, 21098000, 4.12876712, 8.97023810, 168
59, RLL1L110, 1598, 13282826007000, 10227200, 22372000, 4.37808219, 9.29069767, 172
60, RLL2L20X, 1496, 11517659186000, 9574400, 20944000, 4.09863014, 9.12195122, 164
61, RLL2L25X, 1356, 10014795406000, 8678400, 18984000, 3.71506849, 9.22448980, 147
62, RLL2LL20, 1209, 10638064153000, 7737600, 16926000, 3.31232877, 8.57446809, 141
63, RLL2LL25, 1426, 11366649498000, 9126400, 19964000, 3.90684932, 9.20000000, 155
64, RLL3L32X, 1320, 11176080999000, 8448000, 18480000, 3.61643836, 8.85906040, 149
65, RLL3LL32, 1608, 12075692606000, 10291200, 22512000, 4.40547945, 9.40350877, 171
66, RLL4L40X, 1571, 11529911769000, 10054400, 21994000, 4.30410959, 9.18713450, 171
67, RLL4LL40, 1443, 8060070198000, 9235200, 20202000, 3.95342466, 9.49342105, 152
68, RLL5L50X, 1250, 8292478339000, 8000000, 17500000, 3.42465753, 8.74125874, 143
69, RLL5LL50, 1942, 14178845454000, 12428800, 27188000, 5.32054795, 9.71000000, 200
70, RLL6L63X, 1503, 11289524344000, 9619200, 21042000, 4.11780822, 9.39375000, 160
71, RLL6LL63, 1538, 12767710546000, 9843200, 21532000, 4.21369863, 9.49382716, 162
72, RLL7L75X, 1384, 11308207232000, 8857600, 19376000, 3.79178082, 9.35135135, 148
73, RLL7LL75, 1530, 12707096278000, 9792000, 21420000, 4.19178082, 9.21686747, 166
74, RLL9LL90, 1386, 10733213350000, 8870400, 19404000, 3.79726027, 9.05882353, 153
75, RLRN1/2X, 1268, 10807610685000, 8115200, 17752000, 3.47397260, 8.99290780, 141
76, RLRN51/2, 1547, 13776629929000, 9900800, 21658000, 4.23835616, 8.84000000, 175
77, RLRNN20X, 1517, 11455042498000, 9708800, 21238000, 4.15616438, 8.92352941, 170
78, RLRNN25X, 1335, 10694395874000, 8544000, 18690000, 3.65753425, 9.02027027, 148
79, RLRNRN20, 1513, 13731227240000, 9683200, 21182000, 4.14520548, 9.57594937, 158
80, RLRNRN25, 1371, 9215021168000, 8774400, 19194000, 3.75616438, 8.56875000, 160
81, RLRNRN32, 1215, 10054453246000, 7776000, 17010000, 3.32876712, 9.00000000, 135
82, RLRT1/2X, 1636, 13999003378000, 10470400, 22904000, 4.48219178, 9.51162791, 172
83, RLRT51/2, 1641, 15005525359000, 10502400, 22974000, 4.49589041, 9.76785714, 168
84, RLRTRT20, 1769, 14055831436000, 11321600, 24766000, 4.84657534, 9.21354167, 192
85, RLRTRT25, 1573, 12173951343000, 10067200, 22022000, 4.30958904, 9.65030675, 163
86, RLRTRT32, 1561, 11107760235000, 9990400, 21854000, 4.27671233, 8.67222222, 180
87, RLRTT20X, 1334, 11413177618000, 8537600, 18676000, 3.65479452, 9.13698630, 146
88, RLRTT25X, 1532, 12097751574000, 9804800, 21448000, 4.19726027, 9.88387097, 155
89, RLRTT32X, 1450, 10341520180000, 9280000, 20300000, 3.97260274, 9.35483871, 155
90, RN11N110, 1481, 10597545317000, 9478400, 20734000, 4.05753425, 8.92168675, 166
91, RN12N125, 1558, 12653675746000, 9971200, 21812000, 4.26849315, 9.61728395, 162
92, RN14N140, 1522, 11587233336000, 9740800, 21308000, 4.16986301, 9.88311688, 154
93, RN16N160, 1421, 11712189909000, 9094400, 19894000, 3.89315068, 9.16774194, 155
94, RN20N200, 1665, 13585419856000, 10656000, 23310000, 4.56164384, 9.46022727, 176
95, RN20N20X, 1837, 13106757336000, 11756800, 25718000, 5.03287671, 9.61780105, 191
96, RN20RN20, 1492, 10722320964000, 9548800, 20888000, 4.08767123, 9.62580645, 155
97, RN25N25X, 1491, 13108827184000, 9542400, 20874000, 4.08493151, 9.20370370, 162
98, RN25RN25, 1685, 14873215238000, 10784000, 23590000, 4.61643836, 9.57386364, 176
99, RN32N32X, 1577, 12606318494000, 10092800, 22078000, 4.32054795, 9.33136095, 169
100, RN32RN32, 1427, 10111672549000, 9132800, 19978000, 3.90958904, 9.45033113, 151
101, RN40N40X, 1489, 12673680444000, 9529600, 20846000, 4.07945205, 9.02424242, 165
102, RN40RN40, 1077, 7726617096000, 6892800, 15078000, 2.95068493, 8.54761905, 126
103, RN50N50X, 1559, 12386485587000, 9977600, 21826000, 4.27123288, 9.62345679, 162
104, RN50RN50, 1792, 13359371113000, 11468800, 25088000, 4.90958904, 9.43157895, 190
105, RN63N63X, 1507, 11712915496000, 9644800, 21098000, 4.12876712, 9.07831325, 166
106, RN63RN63, 1395, 11327059887000, 8928000, 19530000, 3.82191781, 8.88535032, 157
107, RN75N75X, 1502, 11273469594000, 9612800, 21028000, 4.11506849, 8.88757396, 169
108, RN75RN75, 1498, 12574069645000, 9587200, 20972000, 4.10410959, 9.07878788, 165
109, RN90RN90, 1522, 12186292218000, 9740800, 21308000, 4.16986301, 8.84883721, 172
110, RNB14010, 1345, 10134905118000, 8608000, 18830000, 3.68493151, 9.02684564, 149
111, RNB1B125, 1438, 10450668067000, 9203200, 20132000, 3.93972603, 9.15923567, 157
112, RNB1B140, 1626, 11814403678000, 10406400, 22764000, 4.45479452, 9.29142857, 175
113, RNB1B160, 1594, 11096554519000, 10201600, 22316000, 4.36712329, 9.66060606, 165
114, RNB1B180, 1297, 10941326666000, 8300800, 18158000, 3.55342466, 8.70469799, 149
115, RNB20010, 1566, 11860708980000, 10022400, 21924000, 4.29041096, 9.32142857, 168
116, RNB2B200, 1444, 10745719950000, 9241600, 20216000, 3.95616438, 8.85889571, 163
117, RNC10110, 1410, 10218254253000, 9024000, 19740000, 3.86301370, 8.86792453, 159
118, RNC10140, 1325, 10672034304000, 8480000, 18550000, 3.63013699, 8.28125000, 160
119, RNC11050, 1720, 13364165039000, 11008000, 24080000, 4.71232877, 9.66292135, 178
120, RNC11063, 1419, 13294825566000, 9081600, 19866000, 3.88767123, 8.54819277, 166
121, RNC11075, 1436, 11350547240000, 9190400, 20104000, 3.93424658, 9.14649682, 157
122, RNC11090, 1362, 10641629703000, 8716800, 19068000, 3.73150685, 8.84415584, 154
123, RNC1110D, 1713, 12188032502000, 10963200, 23982000, 4.69315068, 9.41208791, 182
124, RNC14090, 1230, 9318669332000, 7872000, 17220000, 3.36986301, 8.84892086, 139
125, RNC15110, 1624, 13282557818000, 10393600, 22736000, 4.44931507, 10.21383648, 159
126, RNC20125, 1316, 9581770586000, 8422400, 18424000, 3.60547945, 9.01369863, 146
127, RNC22520, 1439, 11487355859000, 9209600, 20146000, 3.94246575, 9.34415584, 154
128, RNC2520X, 1468, 9793068153000, 9395200, 20552000, 4.02191781, 9.65789474, 152
129, RNC3220X, 1751, 13089744884000, 11206400, 24514000, 4.79726027, 9.89265537, 177
130, RNC3225X, 1657, 12988184239000, 10604800, 23198000, 4.53972603, 9.63372093, 172
131, RNC33220, 1552, 12222682187000, 9932800, 21728000, 4.25205479, 9.46341463, 164
132, RNC33225, 1395, 10182760334000, 8928000, 19530000, 3.82191781, 9.00000000, 155
133, RNC4020X, 1560, 11172847252000, 9984000, 21840000, 4.27397260, 9.93630573, 157
134, RNC4025X, 1651, 11410285149000, 10566400, 23114000, 4.52328767, 9.76923077, 169
135, RNC4032X, 1562, 12269182233000, 9996800, 21868000, 4.27945205, 9.29761905, 168
136, RNC44020, 1514, 13115960968000, 9689600, 21196000, 4.14794521, 8.41111111, 180
137, RNC44025, 1428, 11214886060000, 9139200, 19992000, 3.91232877, 8.76073620, 163
138, RNC44032, 1418, 9624235853000, 9075200, 19852000, 3.88493151, 8.86250000, 160
139, RNC5020X, 1647, 13746004825000, 10540800, 23058000, 4.51232877, 9.63157895, 171
140, RNC5025X, 1394, 11040522207000, 8921600, 19516000, 3.81917808, 8.76729560, 159
141, RNC5032X, 1438, 11442601091000, 9203200, 20132000, 3.93972603, 8.61077844, 167
142, RNC5040X, 1705, 12320678521000, 10912000, 23870000, 4.67123288, 9.16666667, 186
143, RNC55020, 1295, 9799677770000, 8288000, 18130000, 3.54794521, 8.69127517, 149
144, RNC55025, 1545, 11595185907000, 9888000, 21630000, 4.23287671, 9.25149701, 167
145, RNC55032, 1436, 11503236678000, 9190400, 20104000, 3.93424658, 8.54761905, 168
146, RNC55040, 1464, 10535394244000, 9369600, 20496000, 4.01095890, 8.66272189, 169
147, RNC6340X, 1396, 10868666006000, 8934400, 19544000, 3.82465753, 8.89171975, 157
148, RNC6350X, 1434, 9815839109000, 9177600, 20076000, 3.92876712, 8.14772727, 176
149, RNC66325, 1590, 11237170129000, 10176000, 22260000, 4.35616438, 9.75460123, 163
150, RNC66332, 1466, 10531173783000, 9382400, 20524000, 4.01643836, 8.93902439, 164
151, RNC66340, 1511, 12758104040000, 9670400, 21154000, 4.13972603, 9.56329114, 158
152, RNC66350, 1555, 13249721394000, 9952000, 21770000, 4.26027397, 8.98843931, 173
153, RNC7540X, 1485, 11893723475000, 9504000, 20790000, 4.06849315, 9.11042945, 163
154, RNC7563X, 1560, 11707963401000, 9984000, 21840000, 4.27397260, 10.00000000, 156
155, RNC77532, 1553, 11326800403000, 9939200, 21742000, 4.25479452, 9.29940120, 167
156, RNC77540, 1709, 13243136938000, 10937600, 23926000, 4.68219178, 9.04232804, 189
157, RNC77550, 1451, 12174723668000, 9286400, 20314000, 3.97534247, 9.67333333, 150
158, RNC77563, 1668, 15243172210000, 10675200, 23352000, 4.56986301, 10.04819277, 166
159, RNC9075X, 1523, 12533686727000, 9747200, 21322000, 4.17260274, 9.28658537, 164
160, RNC99050, 1477, 12017570225000, 9452800, 20678000, 4.04657534, 9.17391304, 161
161, RNC99063, 1415, 12169853504000, 9056000, 19810000, 3.87671233, 9.37086093, 151
162, RNC99075, 1563, 13572220988000, 10003200, 21882000, 4.28219178, 9.19411765, 170
163, RNRN1/2X, 1403, 11154941454000, 8979200, 19642000, 3.84383562, 8.55487805, 164
164, RNRN51/2, 1379, 11679434115000, 8825600, 19306000, 3.77808219, 9.07236842, 152
165, RNRNN110, 1530, 12824406563000, 9792000, 21420000, 4.19178082, 9.05325444, 169
166, RNRNN20X, 1466, 10356536659000, 9382400, 20524000, 4.01643836, 8.99386503, 163
167, RNRNN25X, 1521, 11547325897000, 9734400, 21294000, 4.16712329, 9.27439024, 164
168, RNRNN32X, 1493, 10295295043000, 9555200, 20902000, 4.09041096, 10.02013423, 149
169, RNRNN40X, 1398, 12299863659000, 8947200, 19572000, 3.83013699, 8.68322981, 161
170, RNRNN50X, 1551, 12656187129000, 9926400, 21714000, 4.24931507, 9.63354037, 161
171, RNRNN63X, 1523, 11984291489000, 9747200, 21322000, 4.17260274, 9.40123457, 162
172, RNRNRN20, 1368, 10093921062000, 8755200, 19152000, 3.74794521, 8.76923077, 156
173, RNRNRN25, 1680, 13469493348000, 10752000, 23520000, 4.60273973, 9.33333333, 180
174, RNRNRN32, 1499, 9439748537000, 9593600, 20986000, 4.10684932, 9.54777070, 157
175, RNRNRN40, 1382, 12619951330000, 8844800, 19348000, 3.78630137, 8.85897436, 156
176, RNRNRN50, 1403, 12237078580000, 8979200, 19642000, 3.84383562, 9.29139073, 151
177, RNRNRN63, 1455, 11073482166000, 9312000, 20370000, 3.98630137, 9.20886076, 158
178, RNRNRN75, 1475, 11258960229000, 9440000, 20650000, 4.04109589, 9.33544304, 158
179, RNRNRN90, 1770, 14304572455000, 11328000, 24780000, 4.84931507, 9.88826816, 179
180, RNRT1/2X, 1324, 9862953221000, 8473600, 18536000, 3.62739726, 7.97590361, 166
181, RNRT1010, 1413, 11064304104000, 9043200, 19782000, 3.87123288, 8.66871166, 163
182, RNRT51/2, 1525, 12466137483000, 9760000, 21350000, 4.17808219, 9.13173653, 167
183, RNRTRT20, 1441, 12160442193000, 9222400, 20174000, 3.94794521, 9.41830065, 153
184, RNRTRT25, 1452, 11868303566000, 9292800, 20328000, 3.97808219, 8.96296296, 162
185, RNRTRT32, 1113, 9127494584000, 7123200, 15582000, 3.04931507, 9.04878049, 123
186, RNRTRT40, 1381, 10113684067000, 8838400, 19334000, 3.78356164, 9.02614379, 153
187, RNRTRT50, 1217, 9313933777000, 7788800, 17038000, 3.33424658, 9.36153846, 130
188, RNRTRT63, 1536, 12814050759000, 9830400, 21504000, 4.20821918, 9.19760479, 167
189, RNRTRT75, 1567, 12207136230000, 10028800, 21938000, 4.29315068, 9.85534591, 159
190, RNRTRT90, 1394, 10125192151000, 8921600, 19516000, 3.81917808, 9.48299320, 147
191, RNRTT20X, 1403, 11287694214000, 8979200, 19642000, 3.84383562, 8.35119048, 168
192, RNRTT25X, 1479, 11599721533000, 9465600, 20706000, 4.05205479, 9.54193548, 155
193, RNRTT32X, 1764, 14760722621000, 11289600, 24696000, 4.83287671, 9.96610169, 177
194, RNRTT40X, 1427, 12177157118000, 9132800, 19978000, 3.90958904, 8.80864198, 162
195, RNRTT50X, 1430, 10153827673000, 9152000, 20020000, 3.91780822, 8.88198758, 161
196, ROT2OT20, 1310, 10958575559000, 8384000, 18340000, 3.58904110, 9.22535211, 142
197, ROT2OT25, 1413, 10130868308000, 9043200, 19782000, 3.87123288, 9.11612903, 155
198, ROT2T20X, 1534, 11624148198000, 9817600, 21476000, 4.20273973, 9.18562874, 167
199, ROT2T25X, 1587, 11254218824000, 10156800, 22218000, 4.34794521, 8.81666667, 180
200, RT11T110, 1513, 12942945611000, 9683200, 21182000, 4.14520548, 10.29251701, 147
201, RT12T125, 1478, 10702384999000, 9459200, 20692000, 4.04931507, 9.59740260, 154
202, RT14T140, 1495, 13316577017000, 9568000, 20930000, 4.09589041, 8.95209581, 167
203, RT166016, 1639, 12406875146000, 10489600, 22946000, 4.49041096, 9.81437126, 167
204, RT20RT20, 1491, 10817259498000, 9542400, 20874000, 4.08493151, 8.66860465, 172
205, RT20T20X, 1577, 11756747989000, 10092800, 22078000, 4.32054795, 9.27647059, 170
206, RT25RT25, 1662, 11739244073000, 10636800, 23268000, 4.55342466, 8.93548387, 186
207, RT25T25X, 1532, 11746677099000, 9804800, 21448000, 4.19726027, 9.51552795, 161
208, RT32RT32, 1435, 11115798937000, 9184000, 20090000, 3.93150685, 9.02515723, 159
209, RT32T32X, 1500, 12750480129000, 9600000, 21000000, 4.10958904, 9.20245399, 163
210, RT40RT40, 1640, 11272856600000, 10496000, 22960000, 4.49315068, 9.53488372, 172
211, RT40T40X, 1625, 11722442183000, 10400000, 22750000, 4.45205479, 9.61538462, 169
212, RT50RT50, 1470, 12082595090000, 9408000, 20580000, 4.02739726, 9.86577181, 149
213, RT50T50X, 1482, 11449333646000, 9484800, 20748000, 4.06027397, 9.26250000, 160
214, RT63RT63, 1396, 11997373999000, 8934400, 19544000, 3.82465753, 8.89171975, 157
215, RT63T63X, 1518, 11624862858000, 9715200, 21252000, 4.15890411, 9.20000000, 165
216, RT75RT75, 1500, 10675634606000, 9600000, 21000000, 4.10958904, 9.14634146, 164
217, RT75T75X, 1595, 11792177469000, 10208000, 22330000, 4.36986301, 8.57526882, 186
218, RT90RT90, 1442, 10734457391000, 9228800, 20188000, 3.95068493, 9.42483660, 153
219, RTC11063, 1505, 13033221931000, 9632000, 21070000, 4.12328767, 9.06626506, 166
220, RTC11075, 1485, 12690477355000, 9504000, 20790000, 4.06849315, 9.33962264, 159
221, RTC11090, 1604, 13541594317000, 10265600, 22456000, 4.39452055, 9.78048780, 164
222, RTC14075, 1593, 12819440722000, 10195200, 22302000, 4.36438356, 9.77300613, 163
223, RTC22520, 1371, 12132737476000, 8774400, 19194000, 3.75616438, 7.92485549, 173
224, RTC24016, 1208, 9319567475000, 7731200, 16912000, 3.30958904, 8.62857143, 140
225, RTC2520X, 1507, 12157252674000, 9644800, 21098000, 4.12876712, 8.71098266, 173
226, RTC3220X, 1396, 11221305430000, 8934400, 19544000, 3.82465753, 9.43243243, 148
227, RTC3225X, 1332, 10325031152000, 8524800, 18648000, 3.64931507, 8.93959732, 149
228, RTC33220, 1368, 11095399810000, 8755200, 19152000, 3.74794521, 9.70212766, 141
229, RTC33225, 1409, 11272715555000, 9017600, 19726000, 3.86027397, 9.09032258, 155
230, RTC4025X, 1559, 10853084954000, 9977600, 21826000, 4.27123288, 9.17058824, 170
231, RTC4032X, 1574, 13777669051000, 10073600, 22036000, 4.31232877, 9.42514970, 167
232, RTC44020, 1798, 14470508951000, 11507200, 25172000, 4.92602740, 9.51322751, 189
233, RTC44025, 1765, 14142260714000, 11296000, 24710000, 4.83561644, 9.64480874, 183
234, RTC44032, 1242, 9818126172000, 7948800, 17388000, 3.40273973, 8.87142857, 140
235, RTC5025X, 1738, 12752948601000, 11123200, 24332000, 4.76164384, 9.34408602, 186
236, RTC5032X, 1375, 10794583880000, 8800000, 19250000, 3.76712329, 9.22818792, 149
237, RTC5040X, 1412, 12953655617000, 9036800, 19768000, 3.86849315, 8.55757576, 165
238, RTC55020, 1436, 10447992650000, 9190400, 20104000, 3.93424658, 8.65060241, 166
239, RTC55025, 1685, 14854673635000, 10784000, 23590000, 4.61643836, 9.62857143, 175
240, RTC55032, 1383, 10067257119000, 8851200, 19362000, 3.78904110, 9.47260274, 146
241, RTC55040, 1497, 12183372739000, 9580800, 20958000, 4.10136986, 9.12804878, 164
242, RTC6016X, 1371, 11033873543000, 8774400, 19194000, 3.75616438, 8.90259740, 154
243, RTC6216X, 1472, 12983576225000, 9420800, 20608000, 4.03287671, 8.45977011, 174
244, RTC6350X, 1394, 11138994234000, 8921600, 19516000, 3.81917808, 9.48299320, 147
245, RTC6516X, 1693, 12978934791000, 10835200, 23702000, 4.63835616, 9.20108696, 184
246, RTC66325, 1474, 10492569407000, 9433600, 20636000, 4.03835616, 9.63398693, 153
247, RTC66332, 1757, 12628252695000, 11244800, 24598000, 4.81369863, 9.87078652, 178
248, RTC66340, 1701, 13381815107000, 10886400, 23814000, 4.66027397, 9.00000000, 189
249, RTC66350, 1663, 13721647421000, 10643200, 23282000, 4.55616438, 9.39548023, 177
250, RTC7550X, 1625, 12113430621000, 10400000, 22750000, 4.45205479, 10.28481013, 158
251, RTC7563X, 1407, 12208006639000, 9004800, 19698000, 3.85479452, 9.25657895, 152
252, RTC77532, 1592, 12404203004000, 10188800, 22288000, 4.36164384, 8.89385475, 179
253, RTC77540, 1241, 9156035137000, 7942400, 17374000, 3.40000000, 8.11111111, 153
254, RTC77550, 1521, 11961239551000, 9734400, 21294000, 4.16712329, 9.33128834, 163
255, RTC77563, 1557, 12557687874000, 9964800, 21798000, 4.26575342, 9.10526316, 171
256, RTC9050X, 1609, 12933175241000, 10297600, 22526000, 4.40821918, 8.98882682, 179
257, RTC99050, 1591, 12002781611000, 10182400, 22274000, 4.35890411, 9.41420118, 169
258, RTC99063, 1463, 10810692302000, 9363200, 20482000, 4.00821918, 9.56209150, 153
259, RTC99075, 1285, 9655474013000, 8224000, 17990000, 3.52054795, 9.04929577, 142
260, RTRN1/2X, 1543, 11332548723000, 9875200, 21602000, 4.22739726, 9.46625767, 163
261, RTRN51/2, 1581, 12893087738000, 10118400, 22134000, 4.33150685, 9.69938650, 163
262, RTRNN20X, 1446, 10465571657000, 9254400, 20244000, 3.96164384, 9.64000000, 150
263, RTRNN25X, 1658, 12292982991000, 10611200, 23212000, 4.54246575, 9.69590643, 171
264, RTRNRN20, 1214, 8868966257000, 7769600, 16996000, 3.32602740, 8.25850340, 147
265, RTRNRN25, 1434, 10847586459000, 9177600, 20076000, 3.92876712, 8.69090909, 165
266, RTRNRN32, 1347, 10945213530000, 8620800, 18858000, 3.69041096, 8.52531646, 158
267, RTRT1/2X, 1237, 9929349419000, 7916800, 17318000, 3.38904110, 9.66406250, 128
268, RTRT51/2, 1614, 12897795278000, 10329600, 22596000, 4.42191781, 8.96666667, 180
269, RTRTRT20, 1677, 13630701265000, 10732800, 23478000, 4.59452055, 9.47457627, 177
270, RTRTRT25, 1255, 8992112911000, 8032000, 17570000, 3.43835616, 8.83802817, 142
271, RTRTRT32, 1408, 10102215168000, 9011200, 19712000, 3.85753425, 8.96815287, 157
272, RTRTT20X, 1459, 10542157153000, 9337600, 20426000, 3.99726027, 9.35256410, 156
273, RTRTT25X, 1427, 12439782431000, 9132800, 19978000, 3.90958904, 9.45033113, 151
274, RTRTT32X, 1524, 11294581084000, 9753600, 21336000, 4.17534247, 9.46583851, 161
275, RUB5UB50, 1617, 12144867890000, 10348800, 22638000, 4.43013699, 9.40116279, 172
276, RUDBDB20, 1396, 11754917602000, 8934400, 19544000, 3.82465753, 9.12418301, 153
277, RUDBDB25, 1682, 13680650826000, 10764800, 23548000, 4.60821918, 9.39664804, 179
278, RUDBDB32, 1591, 12897564845000, 10182400, 22274000, 4.35890411, 9.03977273, 176
279, RUDBDB40, 1599, 11418595116000, 10233600, 22386000, 4.38082192, 10.38311688, 154
280, RUDBDB50, 1793, 11962296386000, 11475200, 25102000, 4.91232877, 9.10152284, 197
281, RUL2UL20, 1402, 11310165479000, 8972800, 19628000, 3.84109589, 8.60122699, 163
282, RUL2UL25, 1542, 12429870112000, 9868800, 21588000, 4.22465753, 9.17857143, 168
283, RUL3UL32, 1574, 13657270702000, 10073600, 22036000, 4.31232877, 9.48192771, 166
284, RUL4UL40, 1397, 11160120957000, 8940800, 19558000, 3.82739726, 9.13071895, 153
285, RUL5UL50, 1733, 12599935509000, 11091200, 24262000, 4.74794521, 9.07329843, 191
286, RUL6UL63, 1430, 11224429213000, 9152000, 20020000, 3.91780822, 8.93750000, 160
287, RULK51/2, 1468, 11775716207000, 9395200, 20552000, 4.02191781, 9.00613497, 163
288, RULLLL20, 1360, 10478613754000, 8704000, 19040000, 3.72602740, 10.14925373, 134
289, RULLLL25, 1389, 11132134666000, 8889600, 19446000, 3.80547945, 8.84713376, 157
290, RULLLL32, 1424, 9819766574000, 9113600, 19936000, 3.90136986, 8.79012346, 162
291, RULLLL40, 1630, 13624559226000, 10432000, 22820000, 4.46575342, 9.53216374, 171
292, RULLLL50, 1242, 10606895079000, 7948800, 17388000, 3.40273973, 8.87142857, 140
293, RULLLL63, 1367, 10266683338000, 8748800, 19138000, 3.74520548, 9.42758621, 145
294, RULR1/2D, 1148, 8254499596000, 7347200, 16072000, 3.14520548, 8.96875000, 128
295, RULR51/2, 1567, 12807591847000, 10028800, 21938000, 4.29315068, 9.05780347, 173
