id, identification, floor, section, location, shelf, column, row, emc
43, 111243, 1, 1, 1, 2, 4, 3, 0
44, 111244, 1, 1, 1, 2, 4, 4, 0
45, 111245, 1, 1, 1, 2, 4, 5, 0
46, 111251, 1, 1, 1, 2, 5, 1, 0
47, 111252, 1, 1, 1, 2, 5, 2, 0
48, 111253, 1, 1, 1, 2, 5, 3, 0
49, 111254, 1, 1, 1, 2, 5, 4, 0
50, 111255, 1, 1, 1, 2, 5, 5, 0
51, 111311, 1, 1, 1, 3, 1, 1, 0
52, 111312, 1, 1, 1, 3, 1, 2, 0
53, 111313, 1, 1, 1, 3, 1, 3, 0
54, 111314, 1, 1, 1, 3, 1, 4, 0
55, 111315, 1, 1, 1, 3, 1, 5, 0
56, 111321, 1, 1, 1, 3, 2, 1, 0
57, 111322, 1, 1, 1, 3, 2, 2, 0
58, 111323, 1, 1, 1, 3, 2, 3, 0
59, 111324, 1, 1, 1, 3, 2, 4, 0
60, 111325, 1, 1, 1, 3, 2, 5, 0
61, 111331, 1, 1, 1, 3, 3, 1, 0
62, 111332, 1, 1, 1, 3, 3, 2, 0
63, 111333, 1, 1, 1, 3, 3, 3, 0
64, 111334, 1, 1, 1, 3, 3, 4, 0
65, 111335, 1, 1, 1, 3, 3, 5, 0
66, 111341, 1, 1, 1, 3, 4, 1, 0
67, 111342, 1, 1, 1, 3, 4, 2, 0
68, 111343, 1, 1, 1, 3, 4, 3, 0
69, 111344, 1, 1, 1, 3, 4, 4, 0
70, 111345, 1, 1, 1, 3, 4, 5, 0
71, 111351, 1, 1, 1, 3, 5, 1, 0
72, 111352, 1, 1, 1, 3, 5, 2, 0
73, 111353, 1, 1, 1, 3, 5, 3, 0
74, 111354, 1, 1, 1, 3, 5, 4, 0
75, 111355, 1, 1, 1, 3, 5, 5, 0
76, 111411, 1, 1, 1, 4, 1, 1, 0
77, 111412, 1, 1, 1, 4, 1, 2, 0
78, 111413, 1, 1, 1, 4, 1, 3, 0
79, 111414, 1, 1, 1, 4, 1, 4, 0
80, 111415, 1, 1, 1, 4, 1, 5, 0
81, 111421, 1, 1, 1, 4, 2, 1, 0
82, 111422, 1, 1, 1, 4, 2, 2, 0
83, 111423, 1, 1, 1, 4, 2, 3, 0
84, 111424, 1, 1, 1, 4, 2, 4, 0
85, 111425, 1, 1, 1, 4, 2, 5, 0
86, 111431, 1, 1, 1, 4, 3, 1, 0
87, 111432, 1, 1, 1, 4, 3, 2, 0
88, 111433, 1, 1, 1, 4, 3, 3, 0
89, 111434, 1, 1, 1, 4, 3, 4, 0
90, 111435, 1, 1, 1, 4, 3, 5, 0
91, 111441, 1, 1, 1, 4, 4, 1, 0
92, 111442, 1, 1, 1, 4, 4, 2, 0
93, 111443, 1, 1, 1, 4, 4, 3, 0
94, 111444, 1, 1, 1, 4, 4, 4, 0
95, 111445, 1, 1, 1, 4, 4, 5, 0
96, 111451, 1, 1, 1, 4, 5, 1, 0
97, 111452, 1, 1, 1, 4, 5, 2, 0
98, 111453, 1, 1, 1, 4, 5, 3, 0
99, 111454, 1, 1, 1, 4, 5, 4, 0
100, 111455, 1, 1, 1, 4, 5, 5, 0
101, 112111, 1, 1, 2, 1, 1, 1, 0
102, 112112, 1, 1, 2, 1, 1, 2, 0
103, 112113, 1, 1, 2, 1, 1, 3, 0
104, 112114, 1, 1, 2, 1, 1, 4, 0
105, 112115, 1, 1, 2, 1, 1, 5, 0
106, 112121, 1, 1, 2, 1, 2, 1, 0
107, 112122, 1, 1, 2, 1, 2, 2, 0
108, 112123, 1, 1, 2, 1, 2, 3, 0
109, 112124, 1, 1, 2, 1, 2, 4, 0
110, 112125, 1, 1, 2, 1, 2, 5, 0
111, 112131, 1, 1, 2, 1, 3, 1, 0
112, 112132, 1, 1, 2, 1, 3, 2, 0
113, 112133, 1, 1, 2, 1, 3, 3, 0
114, 112134, 1, 1, 2, 1, 3, 4, 0
115, 112135, 1, 1, 2, 1, 3, 5, 0
116, 112141, 1, 1, 2, 1, 4, 1, 0
117, 112142, 1, 1, 2, 1, 4, 2, 0
118, 112143, 1, 1, 2, 1, 4, 3, 0
119, 112144, 1, 1, 2, 1, 4, 4, 0
120, 112145, 1, 1, 2, 1, 4, 5, 0
121, 112151, 1, 1, 2, 1, 5, 1, 0
122, 112152, 1, 1, 2, 1, 5, 2, 0
123, 112153, 1, 1, 2, 1, 5, 3, 0
124, 112154, 1, 1, 2, 1, 5, 4, 0
125, 112155, 1, 1, 2, 1, 5, 5, 0
126, 112211, 1, 1, 2, 2, 1, 1, 0
127, 112212, 1, 1, 2, 2, 1, 2, 0
128, 112213, 1, 1, 2, 2, 1, 3, 0
129, 112214, 1, 1, 2, 2, 1, 4, 0
130, 112215, 1, 1, 2, 2, 1, 5, 0
131, 112221, 1, 1, 2, 2, 2, 1, 0
132, 112222, 1, 1, 2, 2, 2, 2, 0
133, 112223, 1, 1, 2, 2, 2, 3, 0
134, 112224, 1, 1, 2, 2, 2, 4, 0
135, 112225, 1, 1, 2, 2, 2, 5, 0
136, 112231, 1, 1, 2, 2, 3, 1, 0
137, 112232, 1, 1, 2, 2, 3, 2, 0
138, 112233, 1, 1, 2, 2, 3, 3, 0
139, 112234, 1, 1, 2, 2, 3, 4, 0
140, 112235, 1, 1, 2, 2, 3, 5, 0
141, 112241, 1, 1, 2, 2, 4, 1, 0
142, 112242, 1, 1, 2, 2, 4, 2, 0
143, 112243, 1, 1, 2, 2, 4, 3, 0
144, 112244, 1, 1, 2, 2, 4, 4, 0
145, 112245, 1, 1, 2, 2, 4, 5, 0
146, 112251, 1, 1, 2, 2, 5, 1, 0
147, 112252, 1, 1, 2, 2, 5, 2, 0
148, 112253, 1, 1, 2, 2, 5, 3, 0
149, 112254, 1, 1, 2, 2, 5, 4, 0
150, 112255, 1, 1, 2, 2, 5, 5, 0
151, 112311, 1, 1, 2, 3, 1, 1, 0
152, 112312, 1, 1, 2, 3, 1, 2, 0
153, 112313, 1, 1, 2, 3, 1, 3, 0
154, 112314, 1, 1, 2, 3, 1, 4, 0
155, 112315, 1, 1, 2, 3, 1, 5, 0
156, 112321, 1, 1, 2, 3, 2, 1, 0
157, 112322, 1, 1, 2, 3, 2, 2, 0
158, 112323, 1, 1, 2, 3, 2, 3, 0
159, 112324, 1, 1, 2, 3, 2, 4, 0
160, 112325, 1, 1, 2, 3, 2, 5, 0
161, 112331, 1, 1, 2, 3, 3, 1, 0
162, 112332, 1, 1, 2, 3, 3, 2, 0
163, 112333, 1, 1, 2, 3, 3, 3, 0
164, 112334, 1, 1, 2, 3, 3, 4, 0
165, 112335, 1, 1, 2, 3, 3, 5, 0
166, 112341, 1, 1, 2, 3, 4, 1, 0
167, 112342, 1, 1, 2, 3, 4, 2, 0
168, 112343, 1, 1, 2, 3, 4, 3, 0
169, 112344, 1, 1, 2, 3, 4, 4, 0
170, 112345, 1, 1, 2, 3, 4, 5, 0
171, 112351, 1, 1, 2, 3, 5, 1, 0
172, 112352, 1, 1, 2, 3, 5, 2, 0
173, 112353, 1, 1, 2, 3, 5, 3, 0
174, 112354, 1, 1, 2, 3, 5, 4, 0
175, 112355, 1, 1, 2, 3, 5, 5, 0
176, 112411, 1, 1, 2, 4, 1, 1, 0
177, 112412, 1, 1, 2, 4, 1, 2, 0
178, 112413, 1, 1, 2, 4, 1, 3, 0
179, 112414, 1, 1, 2, 4, 1, 4, 0
180, 112415, 1, 1, 2, 4, 1, 5, 0
181, 112421, 1, 1, 2, 4, 2, 1, 0
182, 112422, 1, 1, 2, 4, 2, 2, 0
183, 112423, 1, 1, 2, 4, 2, 3, 0
184, 112424, 1, 1, 2, 4, 2, 4, 0
185, 112425, 1, 1, 2, 4, 2, 5, 0
186, 112431, 1, 1, 2, 4, 3, 1, 0
187, 112432, 1, 1, 2, 4, 3, 2, 0
188, 112433, 1, 1, 2, 4, 3, 3, 0
189, 112434, 1, 1, 2, 4, 3, 4, 0
190, 112435, 1, 1, 2, 4, 3, 5, 0
191, 112441, 1, 1, 2, 4, 4, 1, 0
192, 112442, 1, 1, 2, 4, 4, 2, 0
193, 112443, 1, 1, 2, 4, 4, 3, 0
194, 112444, 1, 1, 2, 4, 4, 4, 0
195, 112445, 1, 1, 2, 4, 4, 5, 0
196, 112451, 1, 1, 2, 4, 5, 1, 0
197, 112452, 1, 1, 2, 4, 5, 2, 0
198, 112453, 1, 1, 2, 4, 5, 3, 0
199, 112454, 1, 1, 2, 4, 5, 4, 0
200, 112455, 1, 1, 2, 4, 5, 5, 0
201, 113111, 1, 1, 3, 1, 1, 1, 0
202, 113112, 1, 1, 3, 1, 1, 2, 0
203, 113113, 1, 1, 3, 1, 1, 3, 0
204, 113114, 1, 1, 3, 1, 1, 4, 0
205, 113115, 1, 1, 3, 1, 1, 5, 0
206, 113121, 1, 1, 3, 1, 2, 1, 0
207, 113122, 1, 1, 3, 1, 2, 2, 0
208, 113123, 1, 1, 3, 1, 2, 3, 0
209, 113124, 1, 1, 3, 1, 2, 4, 0
210, 113125, 1, 1, 3, 1, 2, 5, 0
211, 113131, 1, 1, 3, 1, 3, 1, 0
212, 113132, 1, 1, 3, 1, 3, 2, 0
213, 113133, 1, 1, 3, 1, 3, 3, 0
214, 113134, 1, 1, 3, 1, 3, 4, 0
215, 113135, 1, 1, 3, 1, 3, 5, 0
216, 113141, 1, 1, 3, 1, 4, 1, 0
217, 113142, 1, 1, 3, 1, 4, 2, 0
218, 113143, 1, 1, 3, 1, 4, 3, 0
219, 113144, 1, 1, 3, 1, 4, 4, 0
220, 113145, 1, 1, 3, 1, 4, 5, 0
221, 113151, 1, 1, 3, 1, 5, 1, 0
222, 113152, 1, 1, 3, 1, 5, 2, 0
223, 113153, 1, 1, 3, 1, 5, 3, 0
224, 113154, 1, 1, 3, 1, 5, 4, 0
225, 113155, 1, 1, 3, 1, 5, 5, 0
226, 113211, 1, 1, 3, 2, 1, 1, 0
227, 113212, 1, 1, 3, 2, 1, 2, 0
228, 113213, 1, 1, 3, 2, 1, 3, 0
229, 113214, 1, 1, 3, 2, 1, 4, 0
230, 113215, 1, 1, 3, 2, 1, 5, 0
231, 113221, 1, 1, 3, 2, 2, 1, 0
232, 113222, 1, 1, 3, 2, 2, 2, 0
233, 113223, 1, 1, 3, 2, 2, 3, 0
234, 113224, 1, 1, 3, 2, 2, 4, 0
235, 113225, 1, 1, 3, 2, 2, 5, 0
236, 113231, 1, 1, 3, 2, 3, 1, 0
237, 113232, 1, 1, 3, 2, 3, 2, 0
238, 113233, 1, 1, 3, 2, 3, 3, 0
239, 113234, 1, 1, 3, 2, 3, 4, 0
240, 113235, 1, 1, 3, 2, 3, 5, 0
241, 113241, 1, 1, 3, 2, 4, 1, 0
242, 113242, 1, 1, 3, 2, 4, 2, 0
243, 113243, 1, 1, 3, 2, 4, 3, 0
244, 113244, 1, 1, 3, 2, 4, 4, 0
245, 113245, 1, 1, 3, 2, 4, 5, 0
246, 113251, 1, 1, 3, 2, 5, 1, 0
247, 113252, 1, 1, 3, 2, 5, 2, 0
248, 113253, 1, 1, 3, 2, 5, 3, 0
249, 113254, 1, 1, 3, 2, 5, 4, 0
250, 113255, 1, 1, 3, 2, 5, 5, 0
251, 113311, 1, 1, 3, 3, 1, 1, 0
252, 113312, 1, 1, 3, 3, 1, 2, 0
253, 113313, 1, 1, 3, 3, 1, 3, 0
254, 113314, 1, 1, 3, 3, 1, 4, 0
255, 113315, 1, 1, 3, 3, 1, 5, 0
256, 113321, 1, 1, 3, 3, 2, 1, 0
257, 113322, 1, 1, 3, 3, 2, 2, 0
258, 113323, 1, 1, 3, 3, 2, 3, 0
259, 113324, 1, 1, 3, 3, 2, 4, 0
260, 113325, 1, 1, 3, 3, 2, 5, 0
261, 113331, 1, 1, 3, 3, 3, 1, 0
262, 113332, 1, 1, 3, 3, 3, 2, 0
263, 113333, 1, 1, 3, 3, 3, 3, 0
264, 113334, 1, 1, 3, 3, 3, 4, 0
265, 113335, 1, 1, 3, 3, 3, 5, 0
266, 113341, 1, 1, 3, 3, 4, 1, 0
267, 113342, 1, 1, 3, 3, 4, 2, 0
268, 113343, 1, 1, 3, 3, 4, 3, 0
269, 113344, 1, 1, 3, 3, 4, 4, 0
270, 113345, 1, 1, 3, 3, 4, 5, 0
271, 113351, 1, 1, 3, 3, 5, 1, 0
272, 113352, 1, 1, 3, 3, 5, 2, 0
273, 113353, 1, 1, 3, 3, 5, 3, 0
274, 113354, 1, 1, 3, 3, 5, 4, 0
275, 113355, 1, 1, 3, 3, 5, 5, 0
276, 113411, 1, 1, 3, 4, 1, 1, 0
277, 113412, 1, 1, 3, 4, 1, 2, 0
278, 113413, 1, 1, 3, 4, 1, 3, 0
279, 113414, 1, 1, 3, 4, 1, 4, 0
280, 113415, 1, 1, 3, 4, 1, 5, 0
281, 113421, 1, 1, 3, 4, 2, 1, 0
282, 113422, 1, 1, 3, 4, 2, 2, 0
283, 113423, 1, 1, 3, 4, 2, 3, 0
284, 113424, 1, 1, 3, 4, 2, 4, 0
285, 113425, 1, 1, 3, 4, 2, 5, 0
286, 113431, 1, 1, 3, 4, 3, 1, 0
287, 113432, 1, 1, 3, 4, 3, 2, 0
288, 113433, 1, 1, 3, 4, 3, 3, 0
289, 113434, 1, 1, 3, 4, 3, 4, 0
290, 113435, 1, 1, 3, 4, 3, 5, 0
291, 113441, 1, 1, 3, 4, 4, 1, 0
292, 113442, 1, 1, 3, 4, 4, 2, 0
293, 113443, 1, 1, 3, 4, 4, 3, 0
294, 113444, 1, 1, 3, 4, 4, 4, 0
295, 113445, 1, 1, 3, 4, 4, 5, 0
296, 113451, 1, 1, 3, 4, 5, 1, 0
297, 113452, 1, 1, 3, 4, 5, 2, 0
298, 113453, 1, 1, 3, 4, 5, 3, 0
299, 113454, 1, 1, 3, 4, 5, 4, 0
300, 113455, 1, 1, 3, 4, 5, 5, 0
301, 114111, 1, 1, 4, 1, 1, 1, 0
302, 114112, 1, 1, 4, 1, 1, 2, 0
303, 114113, 1, 1, 4, 1, 1, 3, 0
304, 114114, 1, 1, 4, 1, 1, 4, 0
305, 114115, 1, 1, 4, 1, 1, 5, 0
306, 114121, 1, 1, 4, 1, 2, 1, 0
307, 114122, 1, 1, 4, 1, 2, 2, 0
308, 114123, 1, 1, 4, 1, 2, 3, 0
309, 114124, 1, 1, 4, 1, 2, 4, 0
310, 114125, 1, 1, 4, 1, 2, 5, 0
311, 114131, 1, 1, 4, 1, 3, 1, 0
312, 114132, 1, 1, 4, 1, 3, 2, 0
313, 114133, 1, 1, 4, 1, 3, 3, 0
314, 114134, 1, 1, 4, 1, 3, 4, 0
315, 114135, 1, 1, 4, 1, 3, 5, 0
316, 114141, 1, 1, 4, 1, 4, 1, 0
317, 114142, 1, 1, 4, 1, 4, 2, 0
318, 114143, 1, 1, 4, 1, 4, 3, 0
319, 114144, 1, 1, 4, 1, 4, 4, 0
320, 114145, 1, 1, 4, 1, 4, 5, 0
321, 114151, 1, 1, 4, 1, 5, 1, 0
322, 114152, 1, 1, 4, 1, 5, 2, 0
323, 114153, 1, 1, 4, 1, 5, 3, 0
324, 114154, 1, 1, 4, 1, 5, 4, 0
325, 114155, 1, 1, 4, 1, 5, 5, 0
326, 114211, 1, 1, 4, 2, 1, 1, 0
327, 114212, 1, 1, 4, 2, 1, 2, 0
328, 114213, 1, 1, 4, 2, 1, 3, 0
329, 114214, 1, 1, 4, 2, 1, 4, 0
330, 114215, 1, 1, 4, 2, 1, 5, 0
331, 114221, 1, 1, 4, 2, 2, 1, 0
332, 114222, 1, 1, 4, 2, 2, 2, 0
333, 114223, 1, 1, 4, 2, 2, 3, 0
334, 114224, 1, 1, 4, 2, 2, 4, 0
335, 114225, 1, 1, 4, 2, 2, 5, 0
336, 114231, 1, 1, 4, 2, 3, 1, 0
337, 114232, 1, 1, 4, 2, 3, 2, 0
338, 114233, 1, 1, 4, 2, 3, 3, 0
339, 114234, 1, 1, 4, 2, 3, 4, 0
340, 114235, 1, 1, 4, 2, 3, 5, 0
341, 114241, 1, 1, 4, 2, 4, 1, 0
342, 114242, 1, 1, 4, 2, 4, 2, 0
343, 114243, 1, 1, 4, 2, 4, 3, 0
344, 114244, 1, 1, 4, 2, 4, 4, 0
345, 114245, 1, 1, 4, 2, 4, 5, 0
346, 114251, 1, 1, 4, 2, 5, 1, 0
347, 114252, 1, 1, 4, 2, 5, 2, 0
348, 114253, 1, 1, 4, 2, 5, 3, 0
349, 114254, 1, 1, 4, 2, 5, 4, 0
350, 114255, 1, 1, 4, 2, 5, 5, 0
351, 114311, 1, 1, 4, 3, 1, 1, 0
352, 114312, 1, 1, 4, 3, 1, 2, 0
353, 114313, 1, 1, 4, 3, 1, 3, 0
354, 114314, 1, 1, 4, 3, 1, 4, 0
355, 114315, 1, 1, 4, 3, 1, 5, 0
356, 114321, 1, 1, 4, 3, 2, 1, 0
357, 114322, 1, 1, 4, 3, 2, 2, 0
358, 114323, 1, 1, 4, 3, 2, 3, 0
359, 114324, 1, 1, 4, 3, 2, 4, 0
360, 114325, 1, 1, 4, 3, 2, 5, 0
361, 114331, 1, 1, 4, 3, 3, 1, 0
362, 114332, 1, 1, 4, 3, 3, 2, 0
363, 114333, 1, 1, 4, 3, 3, 3, 0
364, 114334, 1, 1, 4, 3, 3, 4, 0
365, 114335, 1, 1, 4, 3, 3, 5, 0
366, 114341, 1, 1, 4, 3, 4, 1, 0
367, 114342, 1, 1, 4, 3, 4, 2, 0
368, 114343, 1, 1, 4, 3, 4, 3, 0
369, 114344, 1, 1, 4, 3, 4, 4, 0
370, 114345, 1, 1, 4, 3, 4, 5, 0
371, 114351, 1, 1, 4, 3, 5, 1, 0
372, 114352, 1, 1, 4, 3, 5, 2, 0
373, 114353, 1, 1, 4, 3, 5, 3, 0
374, 114354, 1, 1, 4, 3, 5, 4, 0
375, 114355, 1, 1, 4, 3, 5, 5, 0
376, 114411, 1, 1, 4, 4, 1, 1, 0
377, 114412, 1, 1, 4, 4, 1, 2, 0
378, 114413, 1, 1, 4, 4, 1, 3, 0
379, 114414, 1, 1, 4, 4, 1, 4, 0
380, 114415, 1, 1, 4, 4, 1, 5, 0
381, 114421, 1, 1, 4, 4, 2, 1, 0
382, 114422, 1, 1, 4, 4, 2, 2, 0
383, 114423, 1, 1, 4, 4, 2, 3, 0
384, 114424, 1, 1, 4, 4, 2, 4, 0
385, 114425, 1, 1, 4, 4, 2, 5, 0
386, 114431, 1, 1, 4, 4, 3, 1, 0
387, 114432, 1, 1, 4, 4, 3, 2, 0
388, 114433, 1, 1, 4, 4, 3, 3, 0
389, 114434, 1, 1, 4, 4, 3, 4, 0
390, 114435, 1, 1, 4, 4, 3, 5, 0
391, 114441, 1, 1, 4, 4, 4, 1, 0
392, 114442, 1, 1, 4, 4, 4, 2, 0
393, 114443, 1, 1, 4, 4, 4, 3, 0
394, 114444, 1, 1, 4, 4, 4, 4, 0
395, 114445, 1, 1, 4, 4, 4, 5, 0
396, 114451, 1, 1, 4, 4, 5, 1, 0
397, 114452, 1, 1, 4, 4, 5, 2, 0
398, 114453, 1, 1, 4, 4, 5, 3, 0
399, 114454, 1, 1, 4, 4, 5, 4, 0
400, 114455, 1, 1, 4, 4, 5, 5, 0
401, 115111, 1, 1, 5, 1, 1, 1, 0
402, 115112, 1, 1, 5, 1, 1, 2, 0
403, 115113, 1, 1, 5, 1, 1, 3, 0
404, 115114, 1, 1, 5, 1, 1, 4, 0
405, 115115, 1, 1, 5, 1, 1, 5, 0
406, 115121, 1, 1, 5, 1, 2, 1, 0
407, 115122, 1, 1, 5, 1, 2, 2, 0
408, 115123, 1, 1, 5, 1, 2, 3, 0
409, 115124, 1, 1, 5, 1, 2, 4, 0
410, 115125, 1, 1, 5, 1, 2, 5, 0
411, 115131, 1, 1, 5, 1, 3, 1, 0
412, 115132, 1, 1, 5, 1, 3, 2, 0
413, 115133, 1, 1, 5, 1, 3, 3, 0
414, 115134, 1, 1, 5, 1, 3, 4, 0
415, 115135, 1, 1, 5, 1, 3, 5, 0
416, 115141, 1, 1, 5, 1, 4, 1, 0
417, 115142, 1, 1, 5, 1, 4, 2, 0
418, 115143, 1, 1, 5, 1, 4, 3, 0
419, 115144, 1, 1, 5, 1, 4, 4, 0
420, 115145, 1, 1, 5, 1, 4, 5, 0
421, 115151, 1, 1, 5, 1, 5, 1, 0
422, 115152, 1, 1, 5, 1, 5, 2, 0
423, 115153, 1, 1, 5, 1, 5, 3, 0
424, 115154, 1, 1, 5, 1, 5, 4, 0
425, 115155, 1, 1, 5, 1, 5, 5, 0
426, 115211, 1, 1, 5, 2, 1, 1, 0
427, 115212, 1, 1, 5, 2, 1, 2, 0
428, 115213, 1, 1, 5, 2, 1, 3, 0
429, 115214, 1, 1, 5, 2, 1, 4, 0
430, 115215, 1, 1, 5, 2, 1, 5, 0
431, 115221, 1, 1, 5, 2, 2, 1, 0
432, 115222, 1, 1, 5, 2, 2, 2, 0
433, 115223, 1, 1, 5, 2, 2, 3, 0
434, 115224, 1, 1, 5, 2, 2, 4, 0
435, 115225, 1, 1, 5, 2, 2, 5, 0
436, 115231, 1, 1, 5, 2, 3, 1, 0
437, 115232, 1, 1, 5, 2, 3, 2, 0
438, 115233, 1, 1, 5, 2, 3, 3, 0
439, 115234, 1, 1, 5, 2, 3, 4, 0
440, 115235, 1, 1, 5, 2, 3, 5, 0
441, 115241, 1, 1, 5, 2, 4, 1, 0
442, 115242, 1, 1, 5, 2, 4, 2, 0
443, 115243, 1, 1, 5, 2, 4, 3, 0
444, 115244, 1, 1, 5, 2, 4, 4, 0
445, 115245, 1, 1, 5, 2, 4, 5, 0
446, 115251, 1, 1, 5, 2, 5, 1, 0
447, 115252, 1, 1, 5, 2, 5, 2, 0
448, 115253, 1, 1, 5, 2, 5, 3, 0
449, 115254, 1, 1, 5, 2, 5, 4, 0
450, 115255, 1, 1, 5, 2, 5, 5, 0
451, 115311, 1, 1, 5, 3, 1, 1, 0
452, 115312, 1, 1, 5, 3, 1, 2, 0
453, 115313, 1, 1, 5, 3, 1, 3, 0
454, 115314, 1, 1, 5, 3, 1, 4, 0
455, 115315, 1, 1, 5, 3, 1, 5, 0
456, 115321, 1, 1, 5, 3, 2, 1, 0
457, 115322, 1, 1, 5, 3, 2, 2, 0
458, 115323, 1, 1, 5, 3, 2, 3, 0
459, 115324, 1, 1, 5, 3, 2, 4, 0
460, 115325, 1, 1, 5, 3, 2, 5, 0
461, 115331, 1, 1, 5, 3, 3, 1, 0
462, 115332, 1, 1, 5, 3, 3, 2, 0
463, 115333, 1, 1, 5, 3, 3, 3, 0
464, 115334, 1, 1, 5, 3, 3, 4, 0
465, 115335, 1, 1, 5, 3, 3, 5, 0
466, 115341, 1, 1, 5, 3, 4, 1, 0
467, 115342, 1, 1, 5, 3, 4, 2, 0
468, 115343, 1, 1, 5, 3, 4, 3, 0
469, 115344, 1, 1, 5, 3, 4, 4, 0
470, 115345, 1, 1, 5, 3, 4, 5, 0
471, 115351, 1, 1, 5, 3, 5, 1, 0
472, 115352, 1, 1, 5, 3, 5, 2, 0
473, 115353, 1, 1, 5, 3, 5, 3, 0
474, 115354, 1, 1, 5, 3, 5, 4, 0
475, 115355, 1, 1, 5, 3, 5, 5, 0
476, 115411, 1, 1, 5, 4, 1, 1, 0
477, 115412, 1, 1, 5, 4, 1, 2, 0
478, 115413, 1, 1, 5, 4, 1, 3, 0
479, 115414, 1, 1, 5, 4, 1, 4, 0
480, 115415, 1, 1, 5, 4, 1, 5, 0
481, 115421, 1, 1, 5, 4, 2, 1, 0
482, 115422, 1, 1, 5, 4, 2, 2, 0
483, 115423, 1, 1, 5, 4, 2, 3, 0
484, 115424, 1, 1, 5, 4, 2, 4, 0
485, 115425, 1, 1, 5, 4, 2, 5, 0
486, 115431, 1, 1, 5, 4, 3, 1, 0
487, 115432, 1, 1, 5, 4, 3, 2, 0
488, 115433, 1, 1, 5, 4, 3, 3, 0
489, 115434, 1, 1, 5, 4, 3, 4, 0
490, 115435, 1, 1, 5, 4, 3, 5, 0
491, 115441, 1, 1, 5, 4, 4, 1, 0
492, 115442, 1, 1, 5, 4, 4, 2, 0
493, 115443, 1, 1, 5, 4, 4, 3, 0
494, 115444, 1, 1, 5, 4, 4, 4, 0
495, 115445, 1, 1, 5, 4, 4, 5, 0
496, 115451, 1, 1, 5, 4, 5, 1, 0
497, 115452, 1, 1, 5, 4, 5, 2, 0
498, 115453, 1, 1, 5, 4, 5, 3, 0
499, 115454, 1, 1, 5, 4, 5, 4, 0
500, 115455, 1, 1, 5, 4, 5, 5, 0
501, 116111, 1, 1, 6, 1, 1, 1, 0
502, 116112, 1, 1, 6, 1, 1, 2, 0
503, 116113, 1, 1, 6, 1, 1, 3, 0
504, 116114, 1, 1, 6, 1, 1, 4, 0
505, 116115, 1, 1, 6, 1, 1, 5, 0
506, 116121, 1, 1, 6, 1, 2, 1, 0
507, 116122, 1, 1, 6, 1, 2, 2, 0
508, 116123, 1, 1, 6, 1, 2, 3, 0
509, 116124, 1, 1, 6, 1, 2, 4, 0
510, 116125, 1, 1, 6, 1, 2, 5, 0
511, 116131, 1, 1, 6, 1, 3, 1, 0
512, 116132, 1, 1, 6, 1, 3, 2, 0
513, 116133, 1, 1, 6, 1, 3, 3, 0
514, 116134, 1, 1, 6, 1, 3, 4, 0
515, 116135, 1, 1, 6, 1, 3, 5, 0
516, 116141, 1, 1, 6, 1, 4, 1, 0
