id,identification,quantity,cost,price,profit,wage,description
66,RL50RL50,48,8200,9100,15000,720000,Noi_goc_90do_phun_PPR_DN_50_PN20
67,RL63RL63,35,2700,3000,55000,1925000,Noi_goc_90do_phun_PPR_DN_63_PN20
68,RL75RL75,25,8800,9700,25000,625000,Noi_goc_90do_phun_PPR_DN_75_PN20
69,RL90RL90,15,6600,7300,15000,225000,Noi_goc_90do_phun_PPR_DN_90_PN20
70,RLKR51/2,25,7800,8600,15000,375000,"Noi_goc_90do_kep_ren_trong_PPR_DN_25_-1/2""_PN20"
71,RLRNRN20,120,6400,7100,55000,6600000,"Noi_goc_ren_ngoai_phun_PPR_DN_20-1/2""PN20"
72,RLRNRN25,80,2200,2500,35000,2800000,"Noi_goc_ren_ngoai_phun_PPR_DN_25-3/4""PN20"
73,RLRN51/2,80,3200,3600,35000,2800000,"-1/2""_Noi_goc_ren_ngoai_phun_PPR_DN_25PN20"
74,RLRNRN32,40,9000,9900,45000,1800000,"Noi_goc_ren_ngoai_phun_PPR_DN_32-1""PN20"
75,RLRTRT20,150,1300,1500,55000,8250000,"-1/2""_Noi_goc_ren_trong_phun_PPR_DN_20PN20"
76,RLRTRT25,100,9100,10100,35000,3500000,"Noi_goc_ren_trong_phun_PPR_DN_25-3/4""PN20"
77,RLRT51/2,100,7100,7900,5000,500000,"-1/2""_Noi_goc_ren_trong_phun_PPR_DN_25PN20"
78,RLRTRT32,40,4000,4400,35000,1400000,-1''_Noi_goc_ren_trong_phun_PPR_DN_32PN20
79,RLL1L110,10,9200,10200,45000,450000,Noi_goc_45do_phun_PPR_DN_110_PN20
80,RLL2LL20,300,3600,4000,35000,10500000,Noi_goc_45do_phun_PPR_DN_20_PN20
81,RLL2LL25,400,8000,8800,15000,6000000,Noi_goc_45do_phun_PPR_DN_25_PN20
82,RLL3LL32,240,6200,6900,35000,8400000,Noi_goc_45do_phun_PPR_DN_32_PN20
83,RLL4LL40,90,4100,4600,55000,4950000,Noi_goc_45do_phun_PPR_DN_40_PN20
84,RLL5LL50,60,7200,8000,25000,1500000,Noi_goc_45do_phun_PPR_DN_50_PN20
85,RLL6LL63,50,7200,8000,15000,750000,Noi_goc_45do_phun_PPR_DN_63_PN20
86,RLL7LL75,30,4000,4400,15000,450000,Noi_goc_45do_phun_PPR_DN_75_PN20
87,RLL9LL90,20,3700,4100,55000,1100000,Noi_goc_45do_phun_PPR_DN_90_PN20
88,RN11N110,18,6000,6600,35000,630000,Noi_thang_phun_PPR_DN_110_PN20
89,RN20RN20,400,3000,3300,35000,14000000,Noi_thang_phun_PPR_DN_20_PN20
90,RN25RN25,480,3900,4300,35000,16800000,Noi_thang_phun_PPR_DN_25_PN20
91,RN32RN32,280,6200,6900,25000,7000000,Noi_thang_phun_PPR_DN_32_PN20
92,RN40RN40,160,5000,5500,55000,8800000,Noi_thang_phun_PPR_DN_40_PN20
93,RN50RN50,90,3100,3500,5000,450000,Noi_thang_phun_PPR_DN_50_PN20
94,RN63RN63,70,3900,4300,45000,3150000,Noi_thang_phun_PPR_DN_63_PN20
95,RN75RN75,40,9600,10600,15000,600000,Noi_thang_phun_PPR_DN_75_PN20
96,RN90RN90,28,7600,8400,15000,420000,Noi_thang_phun_PPR_DN_90_PN20
97,RNC11050,16,8600,9500,35000,560000,Noi_thang_CB_phun_PPR_DN_110-50PN20
98,RNC11063,20,1000,1100,45000,900000,Noi_thang_CB_phun_PPR_DN_110-63PN20
99,RNC11075,20,6600,7300,35000,700000,Noi_thang_CB_phun_PPR_DN_110-75PN20
100,RNC11090,20,1500,1700,35000,700000,Noi_thang_CB_phun_PPR_DN_110-90PN20
101,RNC22520,280,2800,3100,5000,1400000,Noi_thang_CB_phun_PPR_DN_25-20_PN20
102,RNC33220,360,1800,2000,25000,9000000,Noi_thang_CB_phun_PPR_DN_32-20_PN20
103,RNC33225,300,3000,3300,45000,13500000,Noi_thang_CB_phun_PPR_DN_32_-25_PN20
104,RNC44020,200,5000,5500,45000,9000000,Noi_thang_CB_phun_PPR_DN_40_-20_PN20
105,RNC44025,200,4900,5400,45000,9000000,Noi_thang_CB_phun_PPR_DN_40-25_PN20
106,RNC44032,180,8200,9100,25000,4500000,Noi_thang_CB_phun_PPR_DN_40_-32_PN20
107,RNC55020,120,7400,8200,25000,3000000,Noi_thang_CB_phun_PPR_DN_50_-20_PN20
108,RNC55025,120,9400,10400,45000,5400000,Noi_thang_CB_phun_PPR_DN_50-25_PN20
109,RNC55032,120,8300,9200,25000,3000000,Noi_thang_CB_phun_PPR_DN_50_-32_PN20
110,RNC55040,100,5800,6400,25000,2500000,Noi_thang_CB_phun_PPR_DN_50_-40_PN20
111,RNC66325,100,1000,1100,45000,4500000,Noi_thang_CB_phun_PPR_DN_63-25_PN20
112,RNC66332,100,2100,2400,35000,3500000,Noi_thang_CB_phun_PPR_DN_63-32_PN20
113,RNC66340,80,9700,10700,15000,1200000,Noi_thang_CB_phun_PPR_DN_63_-40_PN20
114,RNC66350,70,5500,6100,35000,2450000,Noi_thang_CB_phun_PPR_DN_63_-50_PN20
115,RNC77532,60,3500,3900,15000,900000,Noi_thang_CB_phun_PPR_DK_75-32_PN20
116,RNC77540,60,5700,6300,15000,900000,Noi_thang_CB_phun_PPR_DN_75-40_PN20
117,RNC77550,60,9300,10300,35000,2100000,Noi_thang_CB_phun_PPR_DN_75-50_PN20
118,RNC77563,60,3700,4100,35000,2100000,Noi_thang_CB_phun_PPR_DN_75_-63_PN20
119,RNC99050,40,5200,5800,55000,2200000,Noi_thang_CB_phun_PPR_DK_90-50_PN20
120,RNC99063,30,4200,4700,25000,750000,Noi_thang_CB_phun_PPR_DN_90-63_PN20
121,RNC99075,30,8400,9300,5000,150000,Noi_thang_CB_phun_PPR_DN_90_-75_PN20
122,RNRNN110,4,10000,11000,45000,180000,"-4""_Noi_ren_ngoai_phun_PPR_DK_110PN20"
123,RNRNRN20,150,1800,2000,45000,6750000,"Noi_thang_ren_ngoai_phun_PPR_DN_20_-1/2""PN20"
124,RNRNRN25,90,1100,1300,25000,2250000,"Noi_thang_ren_ngoai_phun_PPR_DN_25-3/4""PN20"
125,RNRN51/2,120,5700,6300,5000,600000,"Noi_thang_ren_ngoai_phun_PPR_DN_25_-1/2""PN20"
126,RNRNRN32,40,5300,5900,25000,1000000,Noi_thang_ren_ngoai_phun_PPR_DN32x1''PN20
127,RNRNRN40,40,9000,9900,45000,1800000,Noi_thang_ren_ngoai_phun_PPR_DN_40-1.1/4PN20
128,RNRNRN50,40,2000,2200,55000,2200000,"Noi_thang_ren_ngoai_phun_PPR_DN_50_-1.1/2""_PN20"
129,RNRNRN63,15,5400,6000,45000,675000,Noi_thang_ren_ngoai_phun_PPR_DN_63x2''PN20
130,RNRNRN75,8,3900,4300,15000,120000,"Noi_thang_ren_ngoai_phun_PPR_DN_75_-2.1/2""_PN20"
131,RNRNRN90,6,6400,7100,35000,210000,"Noi_thang_ren_ngoai_phun_PPR_DN_90x3""PN20"
132,RNRT1010,5,5800,6400,5000,25000,"Noi_thang_ren_trong_phun_PPR_DN_110_-4""_PN10"
133,RNRTRT20,200,1500,1700,25000,5000000,"Noi_thang_ren_trong_phun_PPR_DN_20_-1/2""_PN20"
134,RNRTRT25,120,7800,8600,5000,600000,"Noi_thang_ren_trong_phun_PPR_DN_25-3/4""_PN20"
135,RNRT51/2,150,7200,8000,25000,3750000,"Noi_thang_ren_trong_phun_PPR_DN_25_-1/2""_PN20"
136,RNRTRT32,40,1800,2000,55000,2200000,"Noi_thang_ren_trong_phun_PPR_DN_32-1""PN20"
137,RNRTRT40,40,1500,1700,45000,1800000,"Noi_thang_ren_trong_phun_PPR_DN_40_-1.1/4""_PN20"
138,RNRTRT50,40,10000,11000,35000,1400000,"Noi_thang_ren_trong_phun_PPR_DN_50-1.1/2""_PN20"
139,RNRTRT63,15,8600,9500,55000,825000,"Noi_thang_ren_trong_phun_PPR_DN_63-2""PN20"
140,RNRTRT75,10,4200,4700,45000,450000,"75-_Noi_thang_ren_trong_phun_PPR_DN2.1/2""_PN20"
141,RNRTRT90,6,3100,3500,45000,270000,"Noi_thang_ren_trong_phun_PPR_DN_90-3""PN20"
142,RT11T110,6,2300,2600,55000,330000,Ba_chac_90do_phun_PPR_DN_110_PN20
143,RT20RT20,400,6300,7000,45000,18000000,Ba_chac_90do_phun_PPR_DN_20_PN20
144,RT25RT25,240,2800,3100,35000,8400000,Ba_chac_90do_phun_PPR_DN_25_PN20
145,RT32RT32,120,6200,6900,35000,4200000,Ba_chac_90do_phun_PPR_DN_32_PN20
146,RT40RT40,60,1100,1300,25000,1500000,Ba_chac_90do_phun_PPR_DN_40_PN20
147,RT50RT50,30,2100,2400,15000,450000,Ba_chac_90do_phun_PPR_DN_50_PN20
148,RT63RT63,25,9300,10300,35000,875000,Ba_chac_90do_phun_PPR_DN_63_PN20
149,RT75RT75,15,6800,7500,45000,675000,Ba_chac_90do_phun_PPR_DN_75_PN20
150,RT90RT90,10,1300,1500,55000,550000,Ba_chac_90do_phun_PPR_DN_90_PN20
151,RTC11063,9,4900,5400,15000,135000,Ba_chac_90do_CB_phun_PPR_DN_110_-63PN20
152,RTC11075,9,5200,5800,55000,495000,Ba_chac_90do_CB_phun_PPR_N_110-75PN2
153,RTC11090,8,2400,2700,25000,200000,-90_Ba_chac_90do_CB_phun_PPR_DN_110PN20
154,RTC22520,300,6500,7200,25000,7500000,Ba_chac_90do_CB_phun_PPR_DN_25-20PN20
155,RTC33220,180,3700,4100,5000,900000,-20_Ba_chac_90do_CB_phun_PPR_DN_32PN20
156,RTC33225,150,6800,7500,25000,3750000,-25_Ba_chac_90do_CB_phun_PPR_DN_32PN20
157,RTC44020,100,5400,6000,25000,2500000,Ba_chac_90do_CB_phun_PPR_DN_40-20PN20
158,RTC44025,80,7200,8000,15000,1200000,-25_Ba_chac_90do_CB_phun_PPR_DN_40PN20
159,RTC44032,80,3600,4000,55000,4400000,Ba_chac_90do_CB_phun_PPR_DN_40-32PN20
160,RTC55020,64,1700,1900,15000,960000,-20_Ba_chac_90do_CB_phun_PPR_DN_50PN20
161,RTC55025,60,3700,4100,35000,2100000,Ba_chac_90do_CB_phun_PPR_DN_50-25PN20
162,RTC55032,55,8900,9800,25000,1375000,Ba_chac_90do_CB_phun_PPR_DN_50-32PN20
163,RTC55040,50,7800,8600,15000,750000,-40_Ba_chac_90do_CB_phun_PPR_DN_50PN20
164,RTC66325,50,6600,7300,25000,1250000,Ba_chac_90do_CB_phun_PPR_DN_63-25PN20
165,RTC66332,50,9100,10100,15000,750000,-32_Ba_chac_90do_CB_phun_PPR_DN_63PN20
166,RTC66340,40,6800,7500,25000,1000000,Ba_chac_90do_CB_phun_PPR_DN_63-40PN20
167,RTC66350,30,10000,11000,25000,750000,-50_Ba_chac_90do_CB_phun_PPR_DN_63PN20
168,RTC77532,35,9800,10800,45000,1575000,-32_Ba_chac_90do_CB_phun_PPR_DN_75PN20
169,RTC77540,25,5100,5700,35000,875000,Ba_chac_90do_CB_phun_PPR_DN_75-40PN20
170,RTC77550,20,4500,5000,55000,1100000,-50_Ba_chac_90do_CB_phun_PPR_DN_75PN20
171,RTC77563,20,3800,4200,25000,500000,Ba_chac_90do_CB_phun_PPR_DN_75-63PN20
172,RTC99050,15,3800,4200,55000,825000,-50_Ba_chac_90do_CB_phun_PPR_DN_90PN20
173,RTC99063,15,6600,7300,35000,525000,-63_Ba_chac_90do_CB_phun_PPR_DN_90PN20
174,RTC99075,12,1300,1500,35000,420000,-75_Ba_chac_90do_CB_phun_PPR_DN_90PN20
175,RTRNRN20,100,9700,10700,55000,5500000,Ba_chac_90do_ren_ngoai_phun_PPR_DN20-1/2PN20
176,RTRNRN25,60,5100,5700,35000,2100000,Ba_chac_90do_ren_ngoai_phun_PPR_DN25-3/4_PN20
177,RTRN51/2,60,3000,3300,45000,2700000,Ba_chac_90do_ren_ngoai_phun_PPR_DN25-1/2_PN20
178,RTRNRN32,40,5300,5900,35000,1400000,Ba_chac_90do_ren_ngoai_phun_PPR_DN32-1PN20
179,RTRTRT20,120,6500,7200,45000,5400000,Ba_chac_90do_ren_trong_phun_PPR_DN20-1/2PN20
180,RTRTRT25,60,1600,1800,25000,1500000,Ba_chac_90do_ren_trong_phun_PPR_D_25-3/4_PN20
181,RTRT51/2,80,6800,7500,55000,4400000,Ba_chac_90do_ren_trong_phun_PPR_DN25-1/2_PN20
182,RTRTRT32,40,3500,3900,15000,600000,Ba_chac_90do_ren_trong_phun_PPR_DN32-1_PN20
183,RB50B50X,10,2800,3100,15000,150000,Bich_noi_ong_phun_PPR_DN_50_PN20mau_xanh
184,RB90B90X,10,5900,6500,35000,350000,Bich_noi_ong_phun_PPR_DN_90_PN20xanh
185,RDB2B20X,600,5200,5800,25000,15000000,Dau_bit_phun_PPR_DN_20_PN20_xanh
186,RDB2B25X,360,1900,2100,35000,12600000,Dau_bit_phun_PPR_DN_25_PN20_xanh
187,RDB3B32X,400,2100,2400,45000,18000000,Dau_bit_phun_PPR_DN_32_PN20_xanh
188,RDB4B40X,300,2200,2500,25000,7500000,Dau_bit_phun_PPR_DN_40_PN20_xanh
189,RDB5B50X,120,3300,3700,15000,1800000,Dau_bit_phun_PPR_DN_50_PN20_xanh
190,ROT2T20X,210,5500,6100,35000,7350000,Ong_tranh_phun_PPR_DN_20_PN20_xanh
191,ROT2T25X,120,1700,1900,35000,4200000,Ong_tranh_phun_PPR_DN_25_PN20_xanh
192,RV20V20X,60,180000,198000,25000,1500000,Van_chan_phun_PPR_DN_20_xanh
193,RV25V25X,60,330000,363000,25000,1500000,Van_chan_phun_PPR_DN_25_xanh
194,RV32V32X,36,120000,132000,25000,900000,Van_chan_phun_PPR_DN_32_xanh
195,RV40V40X,20,170000,187000,25000,500000,Van_chan_phun_PPR_DN_40_xanh
196,RV50V50X,20,390000,429000,15000,300000,Van_chan_phun_PPR_DN_50_xanh
197,RVC2C20X,60,400000,440000,15000,900000,Van_cua_phun_PPR_DN_20_xanh
198,RVC2C25X,40,360000,396000,45000,1800000,Van_cua_phun_PPR_DN_25_xanh
199,RVC3C32X,30,300000,330000,25000,750000,Van_cua_phun_PPR_DN_32_xanh
200,RVC4C40X,12,100000,110000,15000,180000,Van_cua_phun_PPR_DN_40_xanh
201,RVC5C50X,12,440000,484000,25000,300000,Van_cua_phun_PPR_DN_50_xanh
202,RVC6C63X,8,490000,539000,15000,120000,Van_cua_phun_PPR_DN_63_mau_xanh
203,RZC2C20X,50,5300,5900,15000,750000,Zac_co_phun_PPR_DN_20_PN10_xanh
204,RZC2C25X,40,4900,5400,35000,1400000,Zac_co_phun_PPR_DN_25_PN10_xanh
205,RZC3C32X,30,4000,4400,15000,450000,Zac_co_phun_PPR_DN_32_PN10_xanh
206,RZC4C40X,20,2600,2900,15000,300000,Zac_co_phun_PPR_DN_40_PN8_xanh
207,RZC5C50X,10,6500,7200,15000,150000,Zac_co_phun_PPR_DN_50_PN6_xanh
208,RZRNN20X,90,6200,6900,25000,2250000,-1/2_Zac_co_ren_ngoai_phun_PPR_DN_20PN20_xanh
209,RZRNN25X,30,8300,9200,45000,1350000,Zac_co_ren_PN20_xanh__ngoai_phun_PPR_DN_25-3/4
210,RZRNN32X,30,3100,3500,45000,1350000,Zac_co_ren_ngoai_phun_PPR_DN_32-1_PN20_xanh__-1
211,RZRNN50X,24,9600,10600,45000,1080000,"Zac_co_ren_ngoai_phun_PPR_DN_50_-1.1/2""_PN20_xanh__"
212,RZRTT20X,90,3400,3800,5000,450000,Zac_co_ren_trong_phun_PPR_DN_20_PN20_xanh__-1/2
213,RZRTT25X,30,4500,5000,35000,1050000,Zac_co_ren_trong_phun_PPR_DN_25-3/4PN20_xanh__
214,RLL2L20X,300,2300,2600,45000,13500000,Noi_goc_45do_phun_PPR_DN_20__PN20
215,RLL2L25X,400,1900,2100,35000,14000000,Noi_goc_45do_phun_PPR_DN_25__PN20
216,RLL3L32X,240,9500,10500,25000,6000000,Noi_goc_45do_phun_PPR_xanh_DN_32_PN20
217,RLL4L40X,90,4900,5400,45000,4050000,Noi_goc_45do_phun_PPR_DN_40_PN20xanh__
218,RLL5L50X,60,8800,9700,45000,2700000,Noi_goc_45do_phun_PPR_DN_50_PN20xanh__
219,RLL6L63X,50,7600,8400,25000,1250000,Noi_goc_45do_phun_PPR_DN_63_PN20xanh__
220,RLL7L75X,30,4100,4600,45000,1350000,Noi_goc_45do_phun_PPR_DN_75_PN20xanh__
221,RL20L20X,280,4100,4600,25000,7000000,Noi_goc_90do_phun_PPR_DN_20__PN20
222,RL25L25X,320,5800,6400,45000,14400000,Noi_goc_90do_phun_PPR_DN_25__PN20
223,RL32L32X,160,5400,6000,25000,4000000,Noi_goc_90do_phun_PPR_DN_32__PN20
224,RL40L40X,80,6100,6800,45000,3600000,Noi_goc_90do_phun_PPR_DN_40xanh__PN20
225,RL50L50X,48,9900,10900,55000,2640000,Noi_goc_90do_phun_PPR_DN_50_PN20xanh__
226,RL63L63X,35,9300,10300,25000,875000,Noi_goc_90do_phun_PPR_DN_63_PN20xanh__
227,RL75L75X,25,9000,9900,25000,625000,Noi_goc_90do_phun_PPR_DN_75_PN20xanh__
228,RL90L90X,15,8200,9100,45000,675000,Noi_goc_90do_phun_PPR_DN_90_PN20xanh__
229,RLRNN20X,120,4200,4700,45000,5400000,"Noi_goc_ren_ngoai_phun_PPR_DN_201/2""PN20_xanh__-"
230,RLRN1/2X,80,2500,2800,15000,1200000,"Noi_goc_ren_ngoai_phun_PPR_DN_25-1/2""PN20_xanh__"
231,RLRNN25X,80,3100,3500,5000,400000,"Noi_goc_ren_ngoai_phun_PPR_DN_25PN20_xanh__-3/4"""
232,RLRTT20X,40,3700,4100,15000,600000,"Noi_goc_ren_trong_phun_PPR_DN_20-1/2""PN20_xanh__"
233,RLRT1/2X,100,8800,9700,55000,5500000,"Noi_goc_ren_trong_phun_PPR_DN_25PN20_xanh__-1/2"""
234,RLRTT25X,120,3300,3700,35000,4200000,Noi_goc_ren_trong_phun_PPR_DN_25PN20_xanh
235,RLRTT32X,40,4300,4800,45000,1800000,Noi_goc_ren_trong_phun_PPR_DN_32PN20_xanh
236,RN20N20X,400,5000,5500,15000,6000000,Noi_thang_phun_PPR_DN_20_PN20_xanh
237,RN25N25X,480,7700,8500,55000,26400000,Noi_thang_phun_PPR_DN_25_PN20_xanh
238,RN32N32X,280,8700,9600,55000,15400000,Noi_thang_phun_PPR_DN_32_PN20_xanh
239,RN40N40X,160,4400,4900,45000,7200000,Noi_thang_phun_PPR_DN_40_PN20_xanh
240,RN50N50X,90,4000,4400,15000,1350000,Noi_thang_phun_PPR_DN_50_PN20_xanh
241,RN63N63X,70,7300,8100,35000,2450000,Noi_thang_phun_PPR_DN_63_PN20_xanh
242,RN75N75X,40,5100,5700,5000,200000,Noi_thang_phun_PPR_DN_75_PN20_xanh
243,RNC2520X,280,9400,10400,45000,12600000,Noi_thang_CB_phun_PPR_DN_25-20PN20xanh
244,RNC3220X,360,4900,5400,35000,12600000,Noi_thang_CB_phun_PPR_DNxanh
245,RNC3225X,300,9800,10800,35000,10500000,Noi_thang_CB_phun_PPR_DN_32-25PN20_xanh
246,RNC4020X,200,8800,9700,15000,3000000,Noi_thang_CB_phun_PPR_DN_40-20PN20_xanh
247,RNC4025X,200,5400,6000,35000,7000000,Noi_thang_CB_phun_PPR_DN_40PN20_xanh
248,RNC4032X,180,4000,4400,25000,4500000,Noi_thang_CB_phun_PPR_DN_40-32_PN20xanh
249,RNC5020X,120,2300,2600,15000,1800000,Noi_thang_CB_phun_PPR_DN_50xanh
250,RNC5025X,120,5000,5500,15000,1800000,Noi_thang_CB_phun_PPR_DN_50-25_PN20xanh
251,RNC5032X,120,4300,4800,45000,5400000,Noi_thang_CB_phun_PPR_DN_50xanh
252,RNC5040X,100,7300,8100,45000,4500000,Noi_thang_CBxanh
253,RNC6340X,80,8700,9600,15000,1200000,Noi_thang_CB_phun_PPR_DN_63-40_PN20xanh
254,RNC6350X,70,6300,7000,45000,3150000,Noi_thang_CB_phun_PPR_DN_63xanh
255,RNC7540X,60,8100,9000,45000,2700000,Noi_thang_CB_phun_PPR_DN_75-40_PN20xanh
256,RNC7563X,60,1300,1500,45000,2700000,Noi_thang_CBxanh
257,RNC9075X,50,4700,5200,35000,1750000,Noi_thang_CB_phun_PPR_DN_90-75_PN20xanh
258,RNRNN20X,150,2000,2200,35000,5250000,"Noi_thang_ren_ngoai1/2""_PN20_xanh"
259,RNRN1/2X,120,6400,7100,5000,600000,Noi_thang_ren_ngoai
260,RNRNN25X,90,1700,1900,25000,2250000,"Noi_thang_ren_ngoai3/4""_PN20_xanh"
261,RNRNN32X,40,2100,2400,45000,1800000,Noi_thang_ren_ngoai
262,RNRNN40X,40,7700,8500,35000,1400000,"Noi_thang_ren_ngoai1.1/4""_PN20_xanh"
263,RNRNN50X,40,6000,6600,45000,1800000,Noi_thang_ren_ngoai
264,RNRNN63X,15,4200,4700,5000,75000,"Noi_thang_ren_ngoai_phun_PPR_DN_63_x2""_PN20_xanh"
